year,mean_r
1969,0.319679
1970,0.328471
1971,0.345985
1972,0.329726
1973,0.315464
1974,0.317565
1975,0.369244
1976,0.410559
1977,0.318685
1978,0.342848
1979,0.309856
1980,0.308032
1981,0.350470
1982,0.364655
1983,0.334063
1984,0.257797
1985,0.232604
1986,0.249012
1987,0.218479
1988,0.206747
1989,0.239639
1990,0.297961
1991,0.256221
1992,0.349080
1993,0.337652
1994,0.336654
1995,0.292002
1996,0.360955
1997,0.347287
1998,0.383532
1999,0.395912
2000,0.363706
2001,0.336882
2002,0.340517
2003,0.330156
2004,0.469906
2005,0.456188
2006,0.463042
2007,0.480213
2008,0.457356
2009,0.454371
2010,0.450844
2011,0.444717
2012,0.476172
2013,0.456503
2014,0.407822
2015,0.463915
2016,0.472111
2017,0.447909
2018,0.257563
2019,0.242007
2020,0.252389
