year,mean_r
1969,0.393363
1970,0.383870
1971,0.377575
1972,0.380564
1973,0.398661
1974,0.395092
1975,0.406672
1976,0.398394
1977,0.404232
1978,0.420136
1979,0.411417
1980,0.433352
1981,0.409025
1982,0.418363
1983,0.438298
1984,0.418985
1985,0.410980
1986,0.415948
1987,0.443481
1988,0.469935
1989,0.479553
1990,0.489159
1991,0.465219
1992,0.497723
1993,0.506089
1994,0.502833
1995,0.516051
1996,0.512683
1997,0.504468
1998,0.534540
1999,0.560274
2000,0.560435
2001,0.569443
2002,0.578890
2003,0.574879
2004,0.587831
2005,0.579756
2006,0.580583
2007,0.584099
2008,0.564561
2009,0.550445
2010,0.540003
2011,0.545987
2012,0.519521
2013,0.531797
2014,0.529849
2015,0.537424
2016,0.535420
2017,0.514025
2018,0.483166
2019,0.474991
2020,0.465717
