year,mean_r
1969,0.264346
1970,0.258358
1971,0.248054
1972,0.243921
1973,0.275222
1974,0.291489
1975,0.300661
1976,0.278439
1977,0.265900
1978,0.280818
1979,0.275611
1980,0.310053
1981,0.253922
1982,0.259724
1983,0.285885
1984,0.246083
1985,0.227507
1986,0.236863
1987,0.289068
1988,0.316046
1989,0.323229
1990,0.324312
1991,0.284100
1992,0.323684
1993,0.332764
1994,0.342257
1995,0.366534
1996,0.369479
1997,0.364463
1998,0.400153
1999,0.459793
2000,0.478812
2001,0.492261
2002,0.496837
2003,0.496737
2004,0.507748
2005,0.499710
2006,0.509496
2007,0.511795
2008,0.507163
2009,0.502813
2010,0.501849
2011,0.503324
2012,0.434316
2013,0.447156
2014,0.428724
2015,0.419495
2016,0.404378
2017,0.330035
2018,0.329447
2019,0.318267
2020,0.299531
