year,mean_r
1969,0.470263
1970,0.442066
1971,0.455186
1972,0.457509
1973,0.462013
1974,0.448528
1975,0.496628
1976,0.490986
1977,0.541336
1978,0.562642
1979,0.547706
1980,0.565090
1981,0.577359
1982,0.582173
1983,0.583371
1984,0.571274
1985,0.561517
1986,0.569396
1987,0.571892
1988,0.588778
1989,0.598546
1990,0.613945
1991,0.597029
1992,0.636220
1993,0.647730
1994,0.640390
1995,0.644459
1996,0.632233
1997,0.623928
1998,0.638440
1999,0.629915
2000,0.621085
2001,0.615836
2002,0.590989
2003,0.577040
2004,0.584309
2005,0.593926
2006,0.574633
2007,0.596015
2008,0.548621
2009,0.516974
2010,0.488499
2011,0.505866
2012,0.500816
2013,0.508359
2014,0.514626
2015,0.510525
2016,0.518969
2017,0.539606
2018,0.515013
2019,0.517696
2020,0.490694
