year,mean_r
1969,0.136770
1970,0.106656
1971,0.128899
1972,0.106056
1973,0.097583
1974,0.081072
1975,0.076324
1976,0.028536
1977,0.047255
1978,0.018634
1979,0.022959
1980,0.064571
1981,0.086881
1982,0.112126
1983,0.098467
1984,0.113917
1985,0.156187
1986,0.200610
1987,0.228938
1988,0.238143
1989,0.243810
1990,0.267826
1991,0.258887
1992,0.274994
1993,0.209861
1994,0.177909
1995,0.110100
1996,0.068624
1997,0.060947
1998,0.065781
1999,0.118541
2000,0.145672
2001,0.163847
2002,0.182784
2003,0.178762
2004,0.210680
2005,0.216898
2006,0.248806
2007,0.217172
2008,0.215845
2009,0.194292
2010,0.182600
2011,0.168875
2012,0.162842
2013,0.117078
2014,0.122451
2015,0.092127
2016,0.047962
2017,0.013284
2018,0.026292
2019,0.029777
2020,0.045714
