year,mean_r
1969,0.286364
1970,0.273759
1971,0.270546
1972,0.266661
1973,0.276872
1974,0.267296
1975,0.274700
1976,0.248078
1977,0.256982
1978,0.260155
1979,0.264834
1980,0.275611
1981,0.261102
1982,0.268128
1983,0.269115
1984,0.255979
1985,0.258994
1986,0.270693
1987,0.294196
1988,0.313359
1989,0.324236
1990,0.340898
1991,0.324390
1992,0.350095
1993,0.344171
1994,0.335103
1995,0.340395
1996,0.328407
1997,0.320968
1998,0.341145
1999,0.381179
2000,0.388288
2001,0.398976
2002,0.400932
2003,0.395462
2004,0.412780
2005,0.410494
2006,0.423470
2007,0.409074
2008,0.396575
2009,0.385057
2010,0.378317
2011,0.374960
2012,0.352699
2013,0.368771
2014,0.385201
2015,0.383509
2016,0.378954
2017,0.360034
2018,0.351447
2019,0.363680
2020,0.368893
