year,mean_r
1969,0.146436
1970,0.145000
1971,0.143930
1972,0.120387
1973,0.117382
1974,0.109484
1975,0.100578
1976,0.058691
1977,0.076594
1978,0.070787
1979,0.084699
1980,0.076710
1981,0.079940
1982,0.079787
1983,0.059753
1984,0.067186
1985,0.085765
1986,0.109888
1987,0.127284
1988,0.149803
1989,0.167910
1990,0.184159
1991,0.183024
1992,0.224581
1993,0.179046
1994,0.164113
1995,0.140250
1996,0.115801
1997,0.117234
1998,0.107148
1999,0.139879
2000,0.146386
2001,0.158059
2002,0.163558
2003,0.161789
2004,0.185492
2005,0.194488
2006,0.221796
2007,0.187693
2008,0.185298
2009,0.174146
2010,0.168492
2011,0.158028
2012,0.149420
2013,0.138515
2014,0.164683
2015,0.124773
2016,0.092348
2017,0.063285
2018,0.068148
2019,0.072337
2020,0.103475
