year,mean_r
1970,0.302008
1971,0.279765
1972,0.285917
1973,0.279916
1974,0.286630
1975,0.283304
1976,0.261767
1977,0.253043
1978,0.257774
1979,0.258112
1980,0.234396
1981,0.239663
1982,0.233932
1983,0.215509
1984,0.214840
1985,0.207624
1986,0.199678
1987,0.184706
1988,0.203020
1989,0.190532
1990,0.204987
1991,0.226117
1992,0.243576
1993,0.275287
1994,0.279307
1995,0.281418
1996,0.281654
1997,0.280219
1998,0.299657
1999,0.321078
2000,0.347947
2001,0.352345
2002,0.352378
2003,0.355666
2004,0.365614
2005,0.387382
2006,0.389350
2007,0.412057
2008,0.403138
2009,0.397222
2010,0.395206
2011,0.390665
2012,0.397176
2013,0.401407
2014,0.410595
2015,0.417748
2016,0.443075
2017,0.428930
2018,0.415763
2019,0.383500
2020,0.372872
