year,mean_r
1970,0.393726
1971,0.403533
1972,0.427382
1973,0.426579
1974,0.446326
1975,0.468830
1976,0.465166
1977,0.455174
1978,0.449973
1979,0.443080
1980,0.420576
1981,0.415482
1982,0.437913
1983,0.448002
1984,0.428976
1985,0.356133
1986,0.306784
1987,0.245820
1988,0.223287
1989,0.194420
1990,0.214980
1991,0.235310
1992,0.297263
1993,0.319787
1994,0.308168
1995,0.283978
1996,0.230893
1997,0.213896
1998,0.242831
1999,0.254691
2000,0.241775
2001,0.241579
2002,0.216743
2003,0.216281
2004,0.271922
2005,0.363851
2006,0.330131
2007,0.331737
2008,0.338070
2009,0.363674
2010,0.359855
2011,0.351992
2012,0.305011
2013,0.296386
2014,0.313704
2015,0.282789
2016,0.336814
2017,0.320326
2018,0.270912
2019,0.288403
2020,0.316588
