year,mean_r
1970,0.398748
1971,0.383159
1972,0.405909
1973,0.437354
1974,0.442017
1975,0.383712
1976,0.361881
1977,0.365244
1978,0.424202
1979,0.406399
1980,0.434526
1981,0.429429
1982,0.386015
1983,0.374324
1984,0.382255
1985,0.372951
1986,0.396466
1987,0.422937
1988,0.513746
1989,0.531110
1990,0.530041
1991,0.535703
1992,0.516945
1993,0.537010
1994,0.544004
1995,0.566392
1996,0.565474
1997,0.568108
1998,0.562740
1999,0.574723
2000,0.601060
2001,0.606399
2002,0.600153
2003,0.587576
2004,0.594175
2005,0.604054
2006,0.606785
2007,0.605516
2008,0.525066
2009,0.496989
2010,0.494886
2011,0.505421
2012,0.529488
2013,0.516980
2014,0.507322
2015,0.526034
2016,0.543810
2017,0.545449
2018,0.541485
2019,0.512872
2020,0.473190
