year,mean_r
1970,0.540904
1971,0.535666
1972,0.537394
1973,0.542744
1974,0.566821
1975,0.568964
1976,0.563823
1977,0.564618
1978,0.585529
1979,0.576874
1980,0.592036
1981,0.606465
1982,0.596529
1983,0.597708
1984,0.595079
1985,0.609077
1986,0.611089
1987,0.614638
1988,0.623768
1989,0.605174
1990,0.604739
1991,0.619319
1992,0.617087
1993,0.626545
1994,0.613815
1995,0.607118
1996,0.597348
1997,0.602018
1998,0.594137
1999,0.593897
2000,0.582633
2001,0.568830
2002,0.587130
2003,0.594698
2004,0.600360
2005,0.604355
2006,0.609669
2007,0.614666
2008,0.601574
2009,0.615220
2010,0.614264
2011,0.616648
2012,0.609275
2013,0.593748
2014,0.606048
2015,0.614805
2016,0.617542
2017,0.611448
2018,0.602812
2019,0.592847
2020,0.584909
