year,CA-BOU,CA-Ca1,CA-Ca2,CA-Cbo,CA-EM1,CA-Gro,CA-HPC,CA-LP1,CA-Qc2,CA-Qfo,CA-SCB,CA-SCC,CA-SF1,CA-SF2,CA-TP1,CA-TP3,CA-TPD,US-A32,US-A74,US-ALQ,US-BZB,US-BZF,US-BZS,US-BZo,US-Bi1,US-Bi2,US-CRT,US-CS1,US-CS2,US-CS3,US-CS4,US-CS5,US-CS6,US-CS8,US-CdM,US-Cop,US-Dmg,US-EML,US-Fcr,US-Fmf,US-Fuf,US-Fwf,US-GLE,US-Ho1,US-Ho2,US-ICh,US-ICs,US-ICt,US-KFS,US-KLS,US-KS1,US-KS2,US-Kon,US-LS2,US-MMS,US-MOz,US-Me2,US-Me3,US-Me6,US-Mo1,US-Mo2,US-Mo3,US-Myb,US-NC1,US-NC3,US-NC4,US-Ne1,US-ORv,US-OWC,US-Oho,US-PFL,US-PFb,US-PFc,US-PFd,US-PFk,US-PFm,US-PFn,US-PFp,US-PFq,US-PFt,US-RRC,US-Rls,US-Rms,US-Ro1,US-Ro2,US-Ro4,US-Ro5,US-Ro6,US-Rpf,US-Rwf,US-Rws,US-Sne,US-Snf,US-Srr,US-StJ,US-Syv,US-Ton,US-Tw1,US-Tw2,US-Tw3,US-Tw4,US-Tw5,US-UM3,US-UMB,US-UMd,US-Var,US-WPT,US-Wi0,US-Wi1,US-Wi3,US-Wi4,US-Wi5,US-Wi6,US-Wi7,US-Wi8,US-Wi9,US-YK2,US-xAB,US-xAE,US-xBA,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xRM,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xYE,BE-Bra,BE-Dor,BE-Lcr,BE-Lon,BE-Maa,BE-Vie,CH-Aws,CH-Cha,CH-Dav,CH-Fru,CH-Lae,CH-Oe2,CZ-BK1,CZ-KrP,CZ-Lnz,CZ-RAJ,CZ-Stn,CZ-wet,DE-Akm,DE-Geb,DE-Gri,DE-Hai,DE-HoH,DE-Hzd,DE-Kli,DE-Obe,DE-RuR,DE-RuS,DE-RuW,DE-Tha,DK-Gds,DK-Sor,ES-Abr,ES-Agu,ES-Cnd,ES-LJu,ES-LM1,ES-LM2,FI-Hyy,FI-Ken,FI-Let,FI-Qvd,FI-Sii,FI-Var,FR-Aur,FR-Bil,FR-FBn,FR-Fon,FR-Gri,FR-Hes,FR-LGt,FR-Lam,FR-Tou,GF-Guy,GL-Dsk,IE-Cra,IL-Yat,IT-BCi,IT-BFt,IT-Cp2,IT-Lav,IT-Lsn,IT-MBo,IT-Ren,IT-SR2,IT-Tor,RU-Fy2,RU-Fyo,SE-Deg,SE-Htm,SE-Nor,SE-Ros,SE-Svb
2004,,2866.55,868.378,,,1004.24,,,,636.773,,,1126.11,1097.89,367.178,1091.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443.43,,,,,,,1784.78,1325.14,835.071,1877.13,3724.26,1568.1,787.01,,,,,,,,,1559.53,,,1839.06,,,,,,,,,,,,,,608.652,,,,,,,,,,,,1082.46,967.072,,,,,,,,,585.748,,,,1145.38,1602.07,1116.41,,,,1030.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1211.36,,,1480.22,,1771.28,,,1534.17,,967.949,1318.74,1721.49,,,,,,,1287.08,1423.25,1562.66,,,2527.83,,,,,1392.39,,2147.04,,,,,,,1060.17,,,,,,,,,,2193.93,,,,,,,,726.526,1196.94,,,2190.91,,1301.9,1417.38,,,,1395.06,223.047,,,,
2005,,2463.99,1164.7,1603.42,,1220.93,,,,690.425,,,1107.02,1562.4,171.488,1308.89,,,,,,,,,,,,,,,,,,,,,,,,1592.82,1129.37,577.817,778.59,,1497.55,,,,,,,1861.71,1092.95,800.534,1844.62,1679.11,1449.85,648.167,,,,,,1441.79,,,1531.91,,,1790.95,,,,,,,,,,,,,,1531.19,,,,,,,,,,,,1146.13,1366.12,,,,,,,,,1066.12,,,,,2312.09,,,1129.57,,1032.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1068.44,,,1674,,1820.48,,1739.97,1495.44,2887.66,1119.66,1529.11,1462.49,,,,,,,1264.05,1057.29,1681.93,,,1524.46,,,,,1401.25,,2007.14,,,,-3.95009,,,1132.61,,,,,,1213.57,,,1813.12,1262.82,,,1348.83,,,,,819.654,1770.15,,,2081,,1444.51,1376.35,,,,1520.5,289.255,,,,
2006,,2506.09,790.536,1593.8,,1183.22,,,,711.396,,,1171.42,,528.268,1312.38,,,,,,,,,,,,,,,,,,,,63.0187,,,,1002.06,948.945,301.305,785.933,,1520.34,,,,,,,1741.83,1952.59,858.157,1819.27,2065.59,1429.84,982.784,,,,,,1684.06,,,1527.23,,,1807.37,,,,,,,,,,,,,,618.726,,,,,,,,,,,,1050.84,1025.33,,,,,,,,,615.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1312.19,,,854.415,,1606.19,2691.4,2699.89,1414.37,1894.55,1243.13,1048.94,1444.07,,,,,1460.26,,1424.47,1211.65,1696.08,,,1097.7,,,,,1317.43,,1918.33,,3.82105,,93.2442,,,1035.84,,,,,,1131.99,,,1691.28,1295.59,,,1069.88,,,,,519.479,1689.56,,,2090.28,,1433.56,1471.85,,,,1464.88,263.172,,,,
2007,,2151.04,1008.4,1087.14,,1119.58,,529.749,1384.8,619.314,,,,,627.736,1050.39,,,,,,,,,,,,,,,,,,,,138.272,,,,896.207,948.454,412.919,746.688,,253.264,,47.8238,451.186,,,,,1266.67,877.441,1760.73,1314.67,1525.01,698.936,,,,,,1369.87,,,1793,,,1961.9,,,,,,,,,,,,,,1200.72,,,,,,,,,,,,2145.32,925.284,,,,,,,1491.39,2506.48,665.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1347.27,,,1727.58,,1785.32,2246.52,2991.46,1158.07,2013.61,1657.93,1432.48,1851.78,,,,,1398.66,,958.766,1632.45,1606.44,,,1199.89,,,,,906.272,,2096.6,,148.614,,114.644,,,1165.99,,,,,,706.286,,,1894.36,1364.18,,,1322.42,,,,,627.882,1834.85,,,2061.3,,1460.28,1332.14,,,,1586.83,278.853,,,,
2008,,2353.13,1172.2,1090.26,,1235.95,,481.463,1116.34,673.069,,,,,654.512,1518.12,,,,,,,,,,,,,,,,,,,,,,576.924,,1055.04,1161.45,383.472,536.845,1356.7,1534.66,119.956,295.401,13.6908,940.095,,,,1723.54,,1656.45,1556.83,1708.73,745.587,,,,,,1408.49,,,1751.4,,,1769.29,,,,,,,,,,,,,,539.233,1535.86,,,,223.685,,,,,,,,798.117,,,,,,,1407.06,1317.77,330.381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1436,,,1697.46,,1968.4,1799.6,2663.66,1311.69,1925.99,1386.71,1390.18,1946.14,,,,,1089.29,,1267.08,1612.75,1635.36,,,532.366,1868.1,,,,1585.91,,2083.7,,159.555,,147.355,,,1069.03,,,,,,1478.7,,1596.06,1867.1,1764.38,,,1049.86,,,,,492.11,1974.42,,,2323.41,,1411.24,1589.01,,1846.84,,1544.92,230.312,,,,
2009,,2466.45,1169.65,1575.36,,1051.04,,498.182,1103.52,582.623,,,,,993.039,1594.13,,,,,,,,,,,,,,,,,,,,,,345.223,,963.757,847.564,337.459,509.252,1391.98,1636.13,120.979,209.739,115.03,956.872,,,,1751.99,,1706.14,1579.46,1800.53,861.205,,,,,,2256.42,,2061.71,1873.69,,,1812.2,,,,,,,,,,,,,,1507.51,1590.65,,,,275.454,,,,,,,,1007.28,,,,,,,1294.85,1266.98,666.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.14,,,1680.33,,2206.05,2703.24,2885.97,1309.76,2059.69,1260.74,1538.65,1809.13,,,,,1215.04,135.938,742.582,1071.78,1728.93,,,1807.15,1705.09,,,,1598.09,,2062.19,,347.935,,141.277,,,1229.1,,1236.03,,,,1023.84,,1675.78,1974.01,1445.72,,,900.336,,,,,386.01,1219.69,,,2728.98,,1435.84,1672.02,,847.22,,1715.37,217.473,,,,
2010,,,1213.11,1733.95,,1007.09,,524.988,1031.07,658.603,,,,,1285.81,1730.26,,,,,,,1311.65,,,,,,,,,,,,,,,416.274,,1171.47,1059.3,407.08,328.502,1579.28,1710.86,196.574,,169.02,975.404,,,,1851.04,,1743.31,1489.16,1778.58,,1224.47,,,,,2494.18,,1922.84,1653.81,,,1669.89,,,,,,,,,,,,,,826.714,1339.94,,,,319.573,,,,,,,,1252.19,,,,,,,1362.02,1263.56,825.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1311.02,,,560.007,,1996.81,1123.09,2627.17,1367.88,1844.89,1411.92,616.805,1974.08,,,,1536.1,1160.21,1143.66,1127.67,1496.75,1413.06,,750.441,1197.97,1577.14,,,,1459.78,,1908.52,,482.05,,157.872,,,1131.12,,1375.83,,,,1523.91,,1599.46,1932.65,1606.97,,,1066,,,,,392.458,2004.29,,,2258.45,,1328.55,1608.28,,885.264,,1192.58,200.347,,,,
2011,,,,1685.8,,931.543,,499.482,,,,,,,1358.88,1652.74,,,,,504.805,405.58,923.285,,,,902.028,,,,,,,,,,,399.162,,,,,492.937,1875.2,1724.17,138.086,244.172,98.5732,767.043,,,,1289.13,,1528.1,1263.04,1732.39,,850.646,,,,558.906,2822.74,,2062.98,1613.88,933.476,,1644.57,,,,,,,,,,,,,,1321.64,1334.11,,,,371.601,,,,,,,,1137.92,1794.92,,,,,,1326.99,1316.87,695.769,756.301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1849.64,2311.26,,1551.29,,1954.14,1980.64,2453.55,1392.73,2292.31,1704.29,1615.06,1961,,,,1785.73,1005.21,1837.98,652.931,1753.17,1516.63,,1064.08,1537.23,1792.5,2146.29,2060,,1523.49,,2050.08,,533.853,,194.712,,,1282.2,,1490.54,,,,932.591,,1587.96,2014.45,1874.3,,,1589.43,,,,,487.337,2089.55,,,2207.26,,1659.4,1560.77,,964.296,,1490.07,274.601,,,,
2012,,,,1491.32,,921.646,,590.309,,,,,,,1375.5,1712.97,1447.36,,,,558.979,767.373,1024.97,,,,1079.71,,,,,,,,,,,417.2,132.239,,,,692.738,2496.94,1764.39,173.189,128.954,173.526,877.755,1498.92,,,1114.73,,1580.32,1086.43,1859.94,,774.555,,,,2300.39,3384.2,,1872.05,1616.52,1515.77,,1811.92,,,,,,,,,,,,,,837.461,907.638,,,,399.257,,,,,,,1625.94,971.843,1937.66,1115.96,,,,,1514.88,1505.95,590.252,777.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1796.23,2252.44,,1543.45,,1966.7,-1197.78,1768.28,1361.84,2051.12,1847.19,1480.8,1673.31,,,1729.24,1505.92,1289.65,1969.96,904.767,1673.06,1574.96,,1090.73,757.718,1931.8,1823.92,1149.76,2036.67,1420.28,,2046.72,,273.885,,55.7598,,,1173.45,,1547.39,,,,1370.7,,1552.54,1781.31,1217.67,,,1167.05,,,,,618.046,1862.23,,1974.73,2358.4,,1560.4,1483.73,,847.416,,1387.73,229.497,,,,
2013,,,,1823.92,,836.601,,531.106,,,,350.824,,,1578.25,1746.33,1464.9,,,,,348.63,998.598,,,,869.438,,,,,,,,,,,310.16,258.635,,,,614.834,1397.6,1715.23,186.386,300.369,126.374,1396.37,1498.65,,,1868.89,,1628.48,1338.6,1890.17,,924.1,,,,1747.36,,762.668,1327.18,1684.57,1568.71,,1797.85,,,,,,,,,,,,,,1333,558.405,,,,380.196,,,,,,,1514.36,838.634,2014.99,1143.03,3536.3,839.375,,119.84,1255.47,1344.04,439.383,556.472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.17,2035.6,,1490.88,,1882.61,1437.3,2524.7,1343.62,1901.47,1442.38,1368.46,1836.24,,,1654.14,1382.5,1123.41,1914.66,1095.55,1537.02,1668,,1158.03,1440.36,1694.35,1598.14,1794.74,2029.2,1445.86,,1996.29,,294.513,,72.3103,,,1208.84,,1381.57,,,,1381.93,,1555.16,1755.78,1240.21,,,1552.24,,,,,473.687,1959.62,,2033.14,2059.11,,1394.57,1496.94,2723.49,844.027,,1263.41,395.337,,,,
