year,CA-BOU,CA-Ca1,CA-Ca2,CA-Cbo,CA-EM1,CA-Gro,CA-HPC,CA-LP1,CA-Qc2,CA-Qfo,CA-SCB,CA-SCC,CA-SF1,CA-SF2,CA-TP1,CA-TP3,CA-TPD,US-A32,US-A74,US-ALQ,US-BZB,US-BZF,US-BZS,US-BZo,US-Bi1,US-Bi2,US-CRT,US-CS1,US-CS2,US-CS3,US-CS4,US-CS5,US-CS6,US-CS8,US-CdM,US-Cop,US-Dmg,US-EML,US-Fcr,US-Fmf,US-Fuf,US-Fwf,US-GLE,US-Ho1,US-Ho2,US-ICh,US-ICs,US-ICt,US-KFS,US-KLS,US-KS1,US-KS2,US-Kon,US-LS2,US-MMS,US-MOz,US-Me2,US-Me3,US-Me6,US-Mo1,US-Mo2,US-Mo3,US-Myb,US-NC1,US-NC3,US-NC4,US-Ne1,US-ORv,US-OWC,US-Oho,US-PFL,US-PFb,US-PFc,US-PFd,US-PFk,US-PFm,US-PFn,US-PFp,US-PFq,US-PFt,US-RRC,US-Rls,US-Rms,US-Ro1,US-Ro2,US-Ro4,US-Ro5,US-Ro6,US-Rpf,US-Rwf,US-Rws,US-Sne,US-Snf,US-Srr,US-StJ,US-Syv,US-Ton,US-Tw1,US-Tw2,US-Tw3,US-Tw4,US-Tw5,US-UM3,US-UMB,US-UMd,US-Var,US-WPT,US-Wi0,US-Wi1,US-Wi3,US-Wi4,US-Wi5,US-Wi6,US-Wi7,US-Wi8,US-Wi9,US-YK2,US-xAB,US-xAE,US-xBA,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xRM,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xYE,BE-Bra,BE-Dor,BE-Lcr,BE-Lon,BE-Maa,BE-Vie,CH-Aws,CH-Cha,CH-Dav,CH-Fru,CH-Lae,CH-Oe2,CZ-BK1,CZ-KrP,CZ-Lnz,CZ-RAJ,CZ-Stn,CZ-wet,DE-Akm,DE-Geb,DE-Gri,DE-Hai,DE-HoH,DE-Hzd,DE-Kli,DE-Obe,DE-RuR,DE-RuS,DE-RuW,DE-Tha,DK-Gds,DK-Sor,ES-Abr,ES-Agu,ES-Cnd,ES-LJu,ES-LM1,ES-LM2,FI-Hyy,FI-Ken,FI-Let,FI-Qvd,FI-Sii,FI-Var,FR-Aur,FR-Bil,FR-FBn,FR-Fon,FR-Gri,FR-Hes,FR-LGt,FR-Lam,FR-Tou,GF-Guy,GL-Dsk,IE-Cra,IL-Yat,IT-BCi,IT-BFt,IT-Cp2,IT-Lav,IT-Lsn,IT-MBo,IT-Ren,IT-SR2,IT-Tor,RU-Fy2,RU-Fyo,SE-Deg,SE-Htm,SE-Nor,SE-Ros,SE-Svb
2014,,,,1977.35,,529.893,,606.313,,,325.076,431.017,,,1073.48,1804.82,1548.64,,,,479.477,371.976,998.598,,,,,,,,,,,,,,,385.629,566.16,,,,742.27,1364.53,1540.12,167.2,404.001,256.117,1630.48,1267.05,,,1503.14,,1691.33,1384.59,2036.74,,897.47,,,,1271.49,,921.331,1591.07,1582.65,1475.91,,,,,,,,,,,,,,473.356,397.87,667.063,,1100.42,,,444.277,1629.33,154.097,,,1597.95,,1482.45,927.233,1663.2,,2442.8,712.384,,97.8119,1376.48,1400.94,648.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1577.63,2443.13,,560.248,,1886.63,2290.49,2552.22,1319.25,2185.66,1580.46,1619.03,2140.05,1224.91,,1852.34,1614.25,1009.54,1331.12,1509.28,2031.45,1707.39,,1524.84,1637.33,1864.95,1858.88,1747.23,2240.03,1648.24,,2496.12,,8.82342,,81.268,1367.77,1352.23,1195.09,,1393.01,,,,1407.85,2096.67,1766.62,1577.71,1297.04,2214.93,,1119.58,,,,,729.881,2031.22,,2361.9,2303.71,,1313.54,1808.06,2703.8,1059.07,,1532.94,281.878,,1451.54,1463.96,1148.52
2015,,,,1547.26,,,,768.697,,,475.426,452.564,,,1955.53,1991.94,1481.22,2484.72,,,551.639,673.426,807.906,,,,,,,,,,,,,,,772.782,,,,,808.572,1516.15,1361.13,191.963,162.322,,978.477,1150.25,,,1951.14,,1622.74,926.969,1869.3,,708.679,1525.42,,,1217.97,,1683.51,2144.9,2004.98,1460.19,1593.41,,,,,,,,,,,,,690.696,936.996,1626.64,1610.01,1183.74,,,406.815,768.959,336.876,,,1693.1,1182.32,1627.11,841.406,1431.64,,2449.08,1602.29,,,1429.22,1376.99,589.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1589.76,2415.94,,1719.65,,1943.1,1278.5,2448.02,1548.81,2103.24,1601.96,1759.28,1903.37,948.651,1761.22,1511.94,1589.58,874.589,1471.84,1235.07,1640.28,1654.04,1736.03,1808.98,1679.78,1868.37,1803.46,1703.21,2097.22,1577.58,,2401.29,968.48,540.747,,131.937,1063.21,1097.31,1210.32,,1524.8,,,,1320.69,1850.77,1746.64,1912.2,737.489,1634.35,,1367.55,,3451.7,,,671.342,2822.46,,2194.18,2340.38,,1663.93,1681.69,2626.08,974.167,1759.9,1582.08,268.631,2009.63,1685.32,1054.71,1251.84
2016,,,,1986.63,,,,803.464,,,606.381,754.491,,,1826.73,1704.29,1558.37,1575.8,1147.29,,530.702,712.987,859.538,,2604.98,,,,,,,,,,,,,452.236,,,,,739.234,1484.59,1645.51,133.68,151.96,155.923,1493.45,1629.24,,,2587.08,,1755.09,1714.85,1646.27,,802.976,1488.43,,1405.43,728.657,,1973.28,1754.2,1782.32,1812.49,1111.26,,,,,,,,,,,,,576.237,858.07,810.17,1695.74,1168.84,,,533.26,660.628,464.294,2365.19,,1841.98,1456.08,1599.47,985.13,1541.85,,2277.5,1774.03,,,1427.6,1382.12,1027.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1745.33,2228.71,,1288.65,449.517,1829.07,1220.98,2921.12,1474.02,2140.99,2027.41,617.412,1934.23,804.071,1956.89,1675.05,1578.86,1087.24,1303.05,1551.38,1910.84,1591.07,1784.97,1973.77,1663.01,1846.04,1905.56,1693.78,2016.2,1709.44,,2498.02,1084.69,-249.055,,88.0555,1451.65,1340.67,1209.88,,865.503,,454.135,497.846,937.782,1768.24,1577.06,1696.49,1375.29,1726.58,,1520.04,,,,,686.282,1639.49,,1616.56,2481.57,1158.93,1667.73,1565.53,2634.93,844.738,1313.75,1357.61,251.43,2001.99,1492.88,1017.45,1226.28
2017,,,,2025.39,,,,,,,315.756,,,,2081.08,1685.07,1503.05,1412.6,437.535,,475.452,512.102,850.082,,2168.3,1365.49,,,,,,,,,,,,335.835,,,,,789.659,1373.81,1544.98,169.913,203.351,214.624,931.1,1702.46,,,1814.92,,1665.9,1712.68,1748.66,,728.391,1484,,1203.89,1389.53,,1950.43,2148,1877.43,,,,,,,,,,,,,,,654.646,815.288,,,1025.28,868.179,843.754,573.484,724.722,549.527,262.061,,2701,1357.07,1515.05,1071.82,1927.95,,1867.61,1713.23,,,1454.35,1461.09,544.177,,,,,,,,,,,,1539.68,,,,,1428.73,,559.999,1057.79,277.841,,,2139.48,1545.88,,1539.82,211.848,,1456.76,,,140.127,,79.4008,,,1934.7,,695.379,,2069.16,,,1875.65,2704.61,1221.13,378.011,,1803.02,2328.76,,1258.09,295.034,1849.77,1451.94,3396.58,1361.03,1957.72,1894.91,1995.87,2020.11,1144.04,1629.05,1616.07,1493.51,1089.31,1637.31,1307.6,1857.78,1682.28,1909.93,1314.16,815.681,1936.97,1964.41,1516.85,2111.23,1686.07,,2252.3,702.765,906.429,,162.788,1012.38,1040.21,1147.02,,1153.16,,335.633,381.57,1226.72,1845.72,1384.89,1860.76,1165.48,1821.54,990.676,954.696,,,,,580.085,2609.18,,2680.83,2554.22,1195.98,1699.12,1562.84,2540.4,699.545,1669.64,1476.74,233.25,2077.38,1427.36,963.596,242.098
2018,287.157,,,2360.99,,,452.126,,,,292.247,,,,,,,,,342.261,532.602,384.956,770.065,492.477,2220.34,1378.68,,2634.58,1852.69,,,,,,,,,360.267,,,,,798.677,1466.85,2060.51,147.827,179.269,222.518,929.996,1399.46,,,1555.8,,1758.62,1376.47,1424.69,,394.768,1443.89,1060.09,1187.81,1728.67,,1974.82,2054,1646.18,,,,,,,,,,,,,,,591.539,944.023,,,1308.15,1642.73,758.97,637.894,902.494,357.418,619.567,1189.54,,,1561.79,1011.82,1743.16,,2103.8,1895.66,1631.13,,1441.64,1316.38,636.659,,,,,,,,,,,,1516.12,,,,,1414.44,1498.84,410.058,323.561,340.717,1989.27,,,1786.52,390.185,2113.2,78.6872,1075.85,690.464,,,555.585,,699.03,,,2567.64,,774.218,199.822,1453.62,2081.68,,1084.22,1600.73,1245.39,1350.57,,1416.33,2200.42,,544.559,682.111,1849.09,1456.93,2752.37,1405.86,2141.57,1810.31,1494.35,2158.61,1030.01,2061.82,1330.62,1699,1144.98,1839.83,1315.98,1228.7,1127.86,1598.91,1646.1,853.891,1469.8,1840,1233.81,2000.09,1364.35,,2053.24,1005.55,329.673,,238.195,1257.22,1231.34,1299.97,858.694,894.805,1445.81,336.241,538.796,1052.38,1762.18,2022.03,2166.85,243.365,1978.02,1168.31,1413.14,1176.7,,,,592.955,2443.79,,2899.08,2610.52,1442.52,1622.51,1285.46,2491.34,1027.61,1913.55,1695.28,207.736,1895.67,1314.01,987.836,1174.08
2019,294.786,,,1534.11,,,,,,,322.816,,,,,,,,,883.626,540.444,502.648,922.03,481.698,2609.53,1499.3,,196.92,2060.67,1377.48,,,,,635.663,,,510.172,,,,,823.794,1417.89,1461.31,209.453,235.556,269.048,895.347,1607.15,,,1720.08,,1705.25,1571.58,1669.49,,902.627,1046.66,1211.24,1260.9,1656.31,,2461.96,1993.41,1346.67,,,,3650.98,3537.96,1121.66,1998.8,2589.85,3449.29,4361.88,3508.45,3293.12,3633.3,,776.777,886.965,,,1079.39,854.261,1379.69,636.29,737.593,340.9,825.209,1698.44,,,2494.11,1086.81,1080.47,,,1595.53,1778.09,,1298.71,1358.87,759.663,,,,,,,,,,,975.554,1710.55,696.882,86.456,1221.41,314.827,1331.33,1247.75,27.1436,921.544,435.489,2039.84,1436.96,1590.44,1919,616.476,1383.06,169.342,850.291,1249.28,,1188.3,818.348,156.586,718.279,1467.6,,2672.22,472.57,281.762,267.13,1166.26,2084.71,411.343,1218.9,1592.64,1044.39,665.546,658.7,1687.48,1930.89,1777.35,1951.94,725.666,1922.07,1404.22,3147.54,1252.83,2296.95,2066.89,1784.96,2006.88,1601.31,2051,1766.63,1622.98,1154.94,-610.567,1445.22,1459.3,1388.59,1692.28,1569.51,1075.02,1591.7,1994.57,981.954,2191.5,1505.98,,2285.26,560.335,377.68,,164.217,1157.84,1229.22,1190.94,651.483,1197.18,1453.66,386.203,463.516,1189.76,1658.19,1737.77,1800.44,1736.42,1953.05,1035.73,1575.06,931.405,,,,488.916,1718.1,2568.74,2107.19,2660.64,1104.08,1612.08,1647.3,2638.9,850.823,1654.23,1689.25,221.437,2538.94,1575.56,905.896,1060.71
2020,469.054,,,2208.37,,,,692.024,,,,,,,,,,,,884.828,503.185,587.751,820.06,640.852,2644.5,1307.28,,,2219.17,1199.51,1534.64,,,,353.681,,,,,,,,898.172,1354.22,1568.5,166.685,142.19,211.577,,,,,,,1700.67,1521.02,1322.14,,872.793,1823.85,1277.36,1274.94,1525.19,,2996.73,1748.58,1710.97,,,,,,,,,,,,,,,801.996,962.323,,,1140.5,1402.47,1743.17,747.728,911.627,571.309,829.115,1539.68,,,1376.17,925.496,1691.42,,,1368.84,,,1391.91,1506.24,670.595,,,,,,,,,,,596.241,1328.21,441.713,119.235,1383.88,779.109,1471.86,1696.62,63.7179,838.74,563.29,293.515,1370.56,2660.53,1902.89,894.053,1947.21,151.317,754.875,1247.19,13.5352,1011.66,542.413,83.2297,440.633,1536.87,1444.11,1158.4,477.813,250.033,88.8875,1445.46,2039.88,17.2608,1329.69,1876.38,1156.73,667.243,194.957,1635.91,2287.61,2217.59,1413.88,750.676,1717.84,1649.51,3395.08,1101.1,2306.26,2180.48,1413.82,2061.32,1583.12,2123.68,1542.48,1599.18,1281.88,1205.68,606.035,1749.19,1100.36,1880.55,1202.05,1762.22,1697.67,2259.79,1662.05,1870.36,1366.03,,2179.75,1002.79,,,161.924,1321.64,1381.49,1185.46,621.05,1301.65,1409.83,381.942,521.341,913.428,1998.96,1940.79,1823.22,1745.27,1970.09,1113.79,1143.2,1426.99,,262.799,687.054,675.942,2029.79,2599.38,2706.02,2756.83,1480.54,1804.11,1679.79,2874.16,949.466,1573.22,1679.17,215.199,2334.79,1693.4,915.626,1116.03
2021,,,,,658.546,,,714.879,,,,,,,,,,,,873.331,495.465,476.323,612.75,495.58,2484.34,1672.07,,,3117.93,,1611.96,1248.86,,,424.276,,2883.25,,,,,,,1067.3,1566.08,153.124,150.07,87.8845,,,,,,,,1564.95,240.29,,881.683,2007.29,1092.54,935.08,1652.83,,,2391.38,,,,,,,,,,,,,,,,803.644,898.963,,,1010.23,788.054,940.729,893.055,816.285,499.913,,,,,1328.72,677.025,1500.61,,,1909.97,,,1446.71,1579.13,507.459,,,,,,,,,,,275.395,1568.73,834.652,,1517.59,580.126,1342.25,1628.97,315.79,601.336,585.881,2353.44,1174.51,1950.79,1649.34,329.92,2258.82,218.394,949.636,994.744,67.5094,640.906,367.788,116.434,476.913,1485.85,1452.77,2041.03,767.795,411.064,284.361,1345.77,2096.35,292.384,1373.84,1558.36,1156.38,351.64,572.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,622.866,,,717.254,,,,,,,,,,,,885.824,906.477,309.619,,722.021,,,,,3942.31,,,,2522.63,,416.198,,1909.68,,,,,,,,1512.38,103.477,88.5666,23.9988,,,,,,,,,641.62,,963.61,2244.02,1093.91,,,,,,,,,,,,,,,,,,,,2269.65,863.401,1025.75,,,991.176,1408.96,1105.59,764.701,992.397,551.06,,,,,1323.35,876.029,1418.8,,,1924.54,,,,1606.26,,,,,,,,,,,,426.331,1785.35,,,,,,,,,500.058,,,,,,,119.227,,,,,,,,,,,,240.922,,,,78.8296,,,,655.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,722.951,,,,,,,,,,,,,,,1253.31,,,,,,,,,,,,,1324.86,2587.97,411.532,,1880.07,,,,,,,,1390.92,139.022,113.315,94.7815,,,,,,,,,,,,1525.72,1532.99,,,,,,,,,,,,,,,,,,,,2029.7,933.325,1047.05,,,949.618,893.24,1236.33,841.447,1054.16,650.096,,,,,1475.6,981.538,1459.35,,,1648.31,,,,1473.38,,,,,,,,,,,,,1823.8,,,,,,,,,503.025,,,,,,,60.891,,,,,,,,,,,,154.147,,,,181.99,,,,775.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
