year,mean_r
1970,0.253899
1971,0.228359
1972,0.236431
1973,0.228782
1974,0.238156
1975,0.249713
1976,0.239745
1977,0.235650
1978,0.244172
1979,0.242821
1980,0.219153
1981,0.227229
1982,0.219573
1983,0.204252
1984,0.198821
1985,0.198581
1986,0.204990
1987,0.188755
1988,0.211276
1989,0.210274
1990,0.221058
1991,0.241822
1992,0.254036
1993,0.285471
1994,0.287552
1995,0.290638
1996,0.290538
1997,0.292141
1998,0.306073
1999,0.331035
2000,0.352128
2001,0.359520
2002,0.355293
2003,0.361506
2004,0.379297
2005,0.391485
2006,0.393529
2007,0.410801
2008,0.404467
2009,0.400356
2010,0.396344
2011,0.391935
2012,0.394757
2013,0.398211
2014,0.412536
2015,0.412260
2016,0.433876
2017,0.421253
2018,0.416897
2019,0.384684
2020,0.371694
