year,mean_r
1970,0.162695
1971,0.145552
1972,0.150500
1973,0.135286
1974,0.134168
1975,0.149718
1976,0.131678
1977,0.129550
1978,0.129841
1979,0.128635
1980,0.087118
1981,0.094266
1982,0.092664
1983,0.065149
1984,0.056580
1985,0.056027
1986,0.056311
1987,0.032754
1988,0.030470
1989,0.016372
1990,0.027012
1991,0.046357
1992,0.073005
1993,0.098609
1994,0.114142
1995,0.110661
1996,0.103728
1997,0.103121
1998,0.117114
1999,0.132773
2000,0.168468
2001,0.175902
2002,0.151858
2003,0.154037
2004,0.177313
2005,0.194286
2006,0.199287
2007,0.221485
2008,0.229331
2009,0.225118
2010,0.216844
2011,0.201322
2012,0.196846
2013,0.219016
2014,0.239445
2015,0.237485
2016,0.268514
2017,0.244899
2018,0.242054
2019,0.182069
2020,0.171532
