year,mean_r
1970,0.349330
1971,0.328604
1972,0.334445
1973,0.329594
1974,0.337522
1975,0.342250
1976,0.340521
1977,0.350688
1978,0.369621
1979,0.365394
1980,0.366766
1981,0.374186
1982,0.367456
1983,0.374313
1984,0.371464
1985,0.370263
1986,0.377302
1987,0.366019
1988,0.406663
1989,0.417948
1990,0.424910
1991,0.436597
1992,0.443047
1993,0.470395
1994,0.464098
1995,0.468061
1996,0.473453
1997,0.469771
1998,0.482315
1999,0.506892
2000,0.513538
2001,0.516440
2002,0.513303
2003,0.513130
2004,0.522092
2005,0.527484
2006,0.527966
2007,0.538184
2008,0.515246
2009,0.505653
2010,0.503473
2011,0.508493
2012,0.501665
2013,0.480390
2014,0.494309
2015,0.495828
2016,0.505966
2017,0.496000
2018,0.478497
2019,0.446747
2020,0.431006
