year,mean_r
1970,0.331916
1971,0.330777
1972,0.332686
1973,0.310992
1974,0.296967
1975,0.280096
1976,0.413614
1977,0.436184
1978,0.415479
1979,0.409687
1980,0.355726
1981,0.376478
1982,0.395578
1983,0.391916
1984,0.365038
1985,0.337083
1986,0.292398
1987,0.271684
1988,0.273810
1989,0.267515
1990,0.286634
1991,0.309835
1992,0.393833
1993,0.419784
1994,0.416314
1995,0.413253
1996,0.431479
1997,0.449660
1998,0.471311
1999,0.509979
2000,0.511965
2001,0.499302
2002,0.470731
2003,0.474288
2004,0.531729
2005,0.580319
2006,0.559275
2007,0.562210
2008,0.556721
2009,0.575724
2010,0.572967
2011,0.566559
2012,0.539256
2013,0.531459
2014,0.540841
2015,0.494252
2016,0.477590
2017,0.411531
2018,0.395619
2019,0.380772
2020,0.379935
