year,mean_r
1970,0.234724
1971,0.233567
1972,0.242885
1973,0.223009
1974,0.221489
1975,0.216372
1976,0.253366
1977,0.260401
1978,0.266201
1979,0.278123
1980,0.277443
1981,0.282649
1982,0.278516
1983,0.295516
1984,0.327253
1985,0.325656
1986,0.321547
1987,0.349927
1988,0.373706
1989,0.348639
1990,0.335894
1991,0.332171
1992,0.348601
1993,0.377838
1994,0.379763
1995,0.372246
1996,0.362387
1997,0.368425
1998,0.358986
1999,0.356894
2000,0.375647
2001,0.373422
2002,0.385613
2003,0.387093
2004,0.396632
2005,0.401243
2006,0.416847
2007,0.422617
2008,0.396707
2009,0.412175
2010,0.426102
2011,0.420458
2012,0.412303
2013,0.394117
2014,0.405116
2015,0.403538
2016,0.395417
2017,0.381848
2018,0.386910
2019,0.380312
2020,0.373713
