year,mean_r
1970,0.148037
1971,0.155147
1972,0.210919
1973,0.144492
1974,0.131535
1975,0.128369
1976,0.146714
1977,0.149712
1978,0.134784
1979,0.157246
1980,0.159325
1981,0.158575
1982,0.178724
1983,0.170423
1984,0.314537
1985,0.321954
1986,0.285406
1987,0.297262
1988,0.341303
1989,0.302376
1990,0.249429
1991,0.253679
1992,0.229530
1993,0.310595
1994,0.335017
1995,0.328793
1996,0.304620
1997,0.388384
1998,0.402415
1999,0.415669
2000,0.438374
2001,0.406139
2002,0.422291
2003,0.437974
2004,0.461819
2005,0.482141
2006,0.521316
2007,0.503011
2008,0.473912
2009,0.515893
2010,0.516606
2011,0.522734
2012,0.545438
2013,0.536462
2014,0.530008
2015,0.540200
2016,0.560490
2017,0.514592
2018,0.522467
2019,0.521047
2020,0.504610
