year,mean_r
1970,0.283033
1971,0.288466
1972,0.302123
1973,0.255456
1974,0.270088
1975,0.276414
1976,0.336219
1977,0.331247
1978,0.325549
1979,0.333629
1980,0.329421
1981,0.351999
1982,0.345538
1983,0.379263
1984,0.431764
1985,0.442528
1986,0.439436
1987,0.458532
1988,0.481015
1989,0.434803
1990,0.420801
1991,0.416584
1992,0.469029
1993,0.494042
1994,0.473414
1995,0.455778
1996,0.434106
1997,0.423528
1998,0.408590
1999,0.398695
2000,0.419855
2001,0.418046
2002,0.446423
2003,0.449496
2004,0.463810
2005,0.463262
2006,0.491235
2007,0.488655
2008,0.473143
2009,0.498203
2010,0.515800
2011,0.510415
2012,0.472121
2013,0.460622
2014,0.483618
2015,0.491461
2016,0.479772
2017,0.487140
2018,0.499373
2019,0.512866
2020,0.502577
