year,mean_r
1970,0.222736
1971,0.226524
1972,0.251773
1973,0.257250
1974,0.261992
1975,0.287236
1976,0.286278
1977,0.265941
1978,0.289385
1979,0.295362
1980,0.278905
1981,0.270095
1982,0.259981
1983,0.236535
1984,0.267130
1985,0.277634
1986,0.267948
1987,0.280863
1988,0.314704
1989,0.300119
1990,0.297205
1991,0.296195
1992,0.297920
1993,0.338610
1994,0.346198
1995,0.338881
1996,0.340863
1997,0.377388
1998,0.368542
1999,0.405697
2000,0.431543
2001,0.433462
2002,0.444816
2003,0.454396
2004,0.461329
2005,0.476572
2006,0.491126
2007,0.487465
2008,0.469221
2009,0.461899
2010,0.452747
2011,0.446185
2012,0.449512
2013,0.423490
2014,0.414601
2015,0.412383
2016,0.419936
2017,0.391834
2018,0.398662
2019,0.354570
2020,0.349465
