year,mean_r
1970,0.207382
1971,0.195343
1972,0.188956
1973,0.193192
1974,0.188871
1975,0.207672
1976,0.284222
1977,0.314584
1978,0.359337
1979,0.360235
1980,0.360455
1981,0.337728
1982,0.328861
1983,0.324534
1984,0.314508
1985,0.309071
1986,0.327257
1987,0.360351
1988,0.380356
1989,0.394085
1990,0.396710
1991,0.397429
1992,0.408235
1993,0.428209
1994,0.434850
1995,0.385477
1996,0.345843
1997,0.375743
1998,0.345644
1999,0.344939
2000,0.355400
2001,0.363733
2002,0.372555
2003,0.387503
2004,0.380968
2005,0.383235
2006,0.376060
2007,0.423647
2008,0.382100
2009,0.369539
2010,0.375525
2011,0.355369
2012,0.356607
2013,0.352035
2014,0.357227
2015,0.377163
2016,0.369385
2017,0.333813
2018,0.333449
2019,0.316390
2020,0.321529
