year,mean_r
1970,0.300072
1971,0.283779
1972,0.293598
1973,0.278804
1974,0.269120
1975,0.214612
1976,0.233061
1977,0.260618
1978,0.243808
1979,0.285786
1980,0.291479
1981,0.288128
1982,0.301432
1983,0.362211
1984,0.414281
1985,0.377077
1986,0.360900
1987,0.421975
1988,0.449975
1989,0.437773
1990,0.396177
1991,0.385351
1992,0.385014
1993,0.400246
1994,0.403797
1995,0.413609
1996,0.407557
1997,0.383728
1998,0.398751
1999,0.371223
2000,0.356289
2001,0.319709
2002,0.288221
2003,0.256921
2004,0.268331
2005,0.276233
2006,0.280712
2007,0.260759
2008,0.192067
2009,0.210950
2010,0.269029
2011,0.281613
2012,0.266865
2013,0.227027
2014,0.245799
2015,0.244064
2016,0.252654
2017,0.261635
2018,0.248686
2019,0.230275
2020,0.233481
