year,mean_r
1969,0.422258
1970,0.412579
1971,0.411458
1972,0.412013
1973,0.439059
1974,0.420799
1975,0.420374
1976,0.378225
1977,0.383637
1978,0.400964
1979,0.404596
1980,0.419194
1981,0.388739
1982,0.392035
1983,0.396522
1984,0.369177
1985,0.355427
1986,0.388525
1987,0.408703
1988,0.426863
1989,0.440865
1990,0.461288
1991,0.434620
1992,0.454879
1993,0.472752
1994,0.474238
1995,0.481119
1996,0.476566
1997,0.460499
1998,0.499813
1999,0.529765
2000,0.516627
2001,0.525822
2002,0.535408
2003,0.511237
2004,0.506234
2005,0.505426
2006,0.506593
2007,0.496697
2008,0.455877
2009,0.441828
2010,0.442632
2011,0.429406
2012,0.377848
2013,0.385234
2014,0.381332
2015,0.419070
2016,0.415390
2017,0.385049
2018,0.348442
2019,0.322433
2020,0.317375
