year,mean_r
1969,0.431274
1970,0.428226
1971,0.437835
1972,0.463674
1973,0.500369
1974,0.470013
1975,0.428130
1976,0.343079
1977,0.389466
1978,0.403488
1979,0.406205
1980,0.449831
1981,0.386448
1982,0.424764
1983,0.429228
1984,0.388710
1985,0.357502
1986,0.393436
1987,0.391843
1988,0.505745
1989,0.519844
1990,0.523391
1991,0.490289
1992,0.484795
1993,0.552235
1994,0.557635
1995,0.623844
1996,0.620144
1997,0.598343
1998,0.661133
1999,0.698977
2000,0.711763
2001,0.716000
2002,0.705862
2003,0.690028
2004,0.659280
2005,0.644528
2006,0.634705
2007,0.620032
2008,0.497242
2009,0.473909
2010,0.533195
2011,0.498867
2012,0.503766
2013,0.534023
2014,0.517396
2015,0.536588
2016,0.526261
2017,0.477978
2018,0.445581
2019,0.387330
2020,0.387350
