year,mean_r
1969,0.540130
1970,0.517378
1971,0.524556
1972,0.525184
1973,0.557904
1974,0.519411
1975,0.551747
1976,0.523275
1977,0.558395
1978,0.546461
1979,0.534405
1980,0.540345
1981,0.559761
1982,0.554050
1983,0.536899
1984,0.510977
1985,0.516150
1986,0.530282
1987,0.535928
1988,0.556426
1989,0.558337
1990,0.578086
1991,0.563886
1992,0.578684
1993,0.569491
1994,0.572118
1995,0.549061
1996,0.545238
1997,0.543598
1998,0.551377
1999,0.548536
2000,0.553031
2001,0.540869
2002,0.527134
2003,0.479992
2004,0.475933
2005,0.482012
2006,0.471166
2007,0.474765
2008,0.400293
2009,0.383375
2010,0.373482
2011,0.400749
2012,0.355033
2013,0.326694
2014,0.312383
2015,0.335844
2016,0.331884
2017,0.302469
2018,0.250266
2019,0.225420
2020,0.187362
