year,mean_r
1970,0.482586
1971,0.459615
1972,0.463680
1973,0.478690
1974,0.478559
1975,0.421436
1976,0.400563
1977,0.412941
1978,0.473217
1979,0.451318
1980,0.478990
1981,0.490718
1982,0.441089
1983,0.430458
1984,0.420978
1985,0.417331
1986,0.455501
1987,0.457563
1988,0.524368
1989,0.547920
1990,0.559629
1991,0.572017
1992,0.557809
1993,0.584198
1994,0.606815
1995,0.627319
1996,0.629900
1997,0.630576
1998,0.631756
1999,0.642846
2000,0.669985
2001,0.673145
2002,0.664113
2003,0.652665
2004,0.672484
2005,0.680911
2006,0.680877
2007,0.689426
2008,0.635155
2009,0.609501
2010,0.595280
2011,0.605605
2012,0.626389
2013,0.608272
2014,0.595272
2015,0.607056
2016,0.617131
2017,0.631706
2018,0.617968
2019,0.592037
2020,0.527724
