year,mean_r
1970,0.303985
1971,0.280913
1972,0.279486
1973,0.264397
1974,0.265190
1975,0.277832
1976,0.262676
1977,0.262541
1978,0.271118
1979,0.263120
1980,0.252741
1981,0.268153
1982,0.270253
1983,0.262785
1984,0.250001
1985,0.244323
1986,0.253550
1987,0.240460
1988,0.257372
1989,0.255366
1990,0.267639
1991,0.283625
1992,0.306942
1993,0.342955
1994,0.348612
1995,0.354209
1996,0.354857
1997,0.355673
1998,0.363964
1999,0.381119
2000,0.402732
2001,0.405936
2002,0.391547
2003,0.387380
2004,0.401788
2005,0.412071
2006,0.413596
2007,0.424812
2008,0.421600
2009,0.414489
2010,0.409349
2011,0.406298
2012,0.397826
2013,0.399990
2014,0.416625
2015,0.417979
2016,0.434989
2017,0.425166
2018,0.415090
2019,0.391297
2020,0.369947
