Id,Name,Country,longitude,latitude,PI names,Site type,Elevation above sea,Station class,Labeling date
http://meta.icos-cp.eu/resources/stations/ES_FR-CLt,Col du Lautaret,France (FR),6.41053,45.0414,Voisin,grasslands,2050.6,Associated,2023/5/23
http://meta.icos-cp.eu/resources/stations/ES_DE-Amv,Amtsvenn,Germany (DE),6.95537,52.1757,Gharun,permanent wetlands,35,Associated,2024/11/6
http://meta.icos-cp.eu/resources/stations/ES_IE-Cra,Clara Raised Bog,Ireland (IE),-7.64177,53.32308,Saunders,permanent wetlands,55,Associated,2025/5/21
http://meta.icos-cp.eu/resources/stations/ES_IT-BCi,Borgo Cioffi,Italy (IT),14.957444,40.52375,Magliulo,croplands,10,1,2023/5/23
http://meta.icos-cp.eu/resources/stations/ES_FI-Var,Varrio,Finland (FI),29.61,67.7549,Kolari,evergreen needleleaf forests,395,Associated,2018/11/30
http://meta.icos-cp.eu/resources/stations/ES_DE-GsB,Grosses Bruch,Germany (DE),11.10478,52.029648,Hildebrandt,grasslands,78,Associated,2024/11/6
http://meta.icos-cp.eu/resources/stations/AS_PRS,Plateau Rosa,Italy (IT),7.7,45.93,Apadula Zazzeri,mountain,3480,2,2021/5/25
http://meta.icos-cp.eu/resources/stations/ES_IT-BFt,Bosco Fontana,Italy (IT),10.741966,45.197754,Gerosa,deciduous broadleaf forests,23,Associated,2021/5/25
http://meta.icos-cp.eu/resources/stations/AS_JFJ,Jungfraujoch,Switzerland (CH),7.9851,46.5475,Conen Roulet Steinbacher,mountain,3571.8,1,2018/5/31
http://meta.icos-cp.eu/resources/stations/ES_CH-Dav,Davos,Switzerland (CH),9.85591,46.81533,Feigenwinter,evergreen needleleaf forests,1637,1,2019/11/21
http://meta.icos-cp.eu/resources/stations/AS_OPE,Observatoire pérenne de l'environnement,France (FR),5.5036,48.5619,Conil Delmotte Laurent Lopez,tall tower,390,1,2017/11/17
http://meta.icos-cp.eu/resources/stations/AS_HUN,Hegyhátsál háttérszennyettség-mérő állomás,Hungary (HU),16.6522,46.9558,Haszpra Molnár,tower,248,2,2024/5/14
http://meta.icos-cp.eu/resources/stations/ES_NL-Loo,Loobos,Netherlands (NL),5.74355,52.166447,van der Molen,evergreen needleleaf forests,33,2,2023/5/23
http://meta.icos-cp.eu/resources/stations/ES_FI-Kmp,Kumpula,Finland (FI),24.9611,60.20289,Järvi,urban and built-up lands,26,Associated,2019/11/21
http://meta.icos-cp.eu/resources/stations/ES_BE-Vie,Vielsalm,Belgium (BE),5.998099,50.304962,Vincke,mixed forests,490,2,2020/11/17
