year,mean_r
1969,0.244778
1970,0.245229
1971,0.253991
1972,0.262167
1973,0.246777
1974,0.227443
1975,0.250400
1976,0.283912
1977,0.270948
1978,0.296146
1979,0.307609
1980,0.305187
1981,0.329189
1982,0.337184
1983,0.373724
1984,0.364162
1985,0.349510
1986,0.384874
1987,0.387681
1988,0.404060
1989,0.391270
1990,0.408715
1991,0.413010
1992,0.414610
1993,0.420986
1994,0.427857
1995,0.404210
1996,0.380970
1997,0.388279
1998,0.387725
1999,0.409936
2000,0.419637
2001,0.429985
2002,0.448026
2003,0.436904
2004,0.442337
2005,0.454690
2006,0.458176
2007,0.446507
2008,0.453384
2009,0.447096
2010,0.439070
2011,0.425059
2012,0.405114
2013,0.386785
2014,0.394161
2015,0.402394
2016,0.368667
2017,0.375280
2018,0.373404
2019,0.384852
2020,0.381208
