year,mean_r
1969,0.319841
1970,0.291298
1971,0.319512
1972,0.323807
1973,0.267399
1974,0.209968
1975,0.233156
1976,0.220008
1977,0.257851
1978,0.285750
1979,0.305634
1980,0.268673
1981,0.288534
1982,0.283480
1983,0.386896
1984,0.356903
1985,0.337311
1986,0.335606
1987,0.381437
1988,0.421194
1989,0.385543
1990,0.399573
1991,0.381093
1992,0.362407
1993,0.380217
1994,0.371347
1995,0.408525
1996,0.383813
1997,0.398249
1998,0.403429
1999,0.405201
2000,0.373400
2001,0.380320
2002,0.299651
2003,0.268087
2004,0.264753
2005,0.299498
2006,0.266954
2007,0.211485
2008,0.222039
2009,0.189875
2010,0.206235
2011,0.215442
2012,0.188436
2013,0.121123
2014,0.138719
2015,0.156413
2016,0.091716
2017,0.098739
2018,0.081492
2019,0.090902
2020,0.104467
