year,mean_r
1969,0.275000
1970,0.239774
1971,0.249253
1972,0.240063
1973,0.250472
1974,0.227927
1975,0.254279
1976,0.332865
1977,0.339608
1978,0.344978
1979,0.352341
1980,0.340073
1981,0.349561
1982,0.358626
1983,0.345692
1984,0.325535
1985,0.318768
1986,0.362991
1987,0.367028
1988,0.388333
1989,0.403136
1990,0.411205
1991,0.412852
1992,0.428850
1993,0.457422
1994,0.450423
1995,0.413476
1996,0.340296
1997,0.359667
1998,0.362040
1999,0.396787
2000,0.415272
2001,0.442441
2002,0.474265
2003,0.450733
2004,0.443708
2005,0.434678
2006,0.408282
2007,0.385132
2008,0.394503
2009,0.370456
2010,0.376186
2011,0.351858
2012,0.360539
2013,0.349025
2014,0.387556
2015,0.412106
2016,0.349390
2017,0.378299
2018,0.369628
2019,0.370362
2020,0.353044
