year,mean_r
1969,0.241100
1970,0.318442
1971,0.334006
1972,0.322234
1973,0.286298
1974,0.252595
1975,0.252040
1976,0.227168
1977,0.163600
1978,0.257173
1979,0.298472
1980,0.309604
1981,0.362352
1982,0.414488
1983,0.486505
1984,0.448493
1985,0.417409
1986,0.420262
1987,0.436091
1988,0.443066
1989,0.406071
1990,0.434882
1991,0.457885
1992,0.422171
1993,0.452973
1994,0.438271
1995,0.443046
1996,0.379156
1997,0.416530
1998,0.426277
1999,0.429215
2000,0.430237
2001,0.394361
2002,0.376845
2003,0.350421
2004,0.361783
2005,0.380308
2006,0.384782
2007,0.378352
2008,0.379062
2009,0.399409
2010,0.390041
2011,0.406487
2012,0.405802
2013,0.388034
2014,0.357520
2015,0.365777
2016,0.353659
2017,0.349169
2018,0.329263
2019,0.345764
2020,0.383712
