year,mean_r
1969,0.225255
1970,0.223211
1971,0.215753
1972,0.257316
1973,0.238003
1974,0.225889
1975,0.243823
1976,0.261209
1977,0.256001
1978,0.288300
1979,0.275179
1980,0.234948
1981,0.233674
1982,0.232006
1983,0.249149
1984,0.284783
1985,0.271271
1986,0.286599
1987,0.268943
1988,0.285153
1989,0.301670
1990,0.331565
1991,0.349464
1992,0.335166
1993,0.365056
1994,0.377220
1995,0.344880
1996,0.362857
1997,0.364808
1998,0.376710
1999,0.406873
2000,0.441133
2001,0.440089
2002,0.462325
2003,0.449210
2004,0.448384
2005,0.456503
2006,0.459604
2007,0.452540
2008,0.448889
2009,0.434474
2010,0.396103
2011,0.402081
2012,0.404481
2013,0.381775
2014,0.371591
2015,0.411501
2016,0.398873
2017,0.398335
2018,0.395743
2019,0.417752
2020,0.396306
