year,mean_r
1969,0.136770
1970,0.106656
1971,0.128899
1972,0.106056
1973,0.097583
1974,0.081072
1975,0.076324
1976,0.028536
1977,0.047866
1978,0.018634
1979,0.028134
1980,0.064571
1981,0.086881
1982,0.112126
1983,0.098467
1984,0.113917
1985,0.156124
1986,0.200610
1987,0.225913
1988,0.238143
1989,0.243810
1990,0.267826
1991,0.258887
1992,0.274752
1993,0.209861
1994,0.179477
1995,0.110100
1996,0.068624
1997,0.060947
1998,0.065430
1999,0.118687
2000,0.144792
2001,0.163668
2002,0.184493
2003,0.175873
2004,0.209190
2005,0.216898
2006,0.248768
2007,0.213700
2008,0.202208
2009,0.194292
2010,0.182600
2011,0.170156
2012,0.165187
2013,0.101317
2014,0.120056
2015,0.085536
2016,0.065787
2017,0.028250
2018,-0.042859
2019,0.025744
2020,0.047702
