year,mean_r
1970,0.288735
1971,0.293945
1972,0.312128
1973,0.305358
1974,0.318254
1975,0.350174
1976,0.365024
1977,0.351959
1978,0.375248
1979,0.377725
1980,0.359509
1981,0.340250
1982,0.311312
1983,0.272508
1984,0.299423
1985,0.316443
1986,0.317180
1987,0.319120
1988,0.336526
1989,0.320598
1990,0.324696
1991,0.315142
1992,0.313074
1993,0.366959
1994,0.370712
1995,0.356652
1996,0.383594
1997,0.440891
1998,0.431317
1999,0.448182
2000,0.478540
2001,0.476548
2002,0.502291
2003,0.533756
2004,0.542412
2005,0.564748
2006,0.576320
2007,0.579312
2008,0.550507
2009,0.525625
2010,0.510612
2011,0.510512
2012,0.515981
2013,0.499233
2014,0.492585
2015,0.504497
2016,0.507469
2017,0.478480
2018,0.468698
2019,0.477081
2020,0.483056
