year,mean_r
1970,0.237110
1971,0.227934
1972,0.235513
1973,0.232563
1974,0.227690
1975,0.249592
1976,0.307786
1977,0.321850
1978,0.346348
1979,0.345785
1980,0.338591
1981,0.317724
1982,0.291266
1983,0.278951
1984,0.293945
1985,0.300197
1986,0.315027
1987,0.330665
1988,0.352030
1989,0.353690
1990,0.351489
1991,0.349847
1992,0.354915
1993,0.393662
1994,0.396296
1995,0.374324
1996,0.371236
1997,0.417601
1998,0.397510
1999,0.400810
2000,0.422099
2001,0.420736
2002,0.439486
2003,0.458607
2004,0.462609
2005,0.472004
2006,0.465961
2007,0.504597
2008,0.467232
2009,0.454243
2010,0.453543
2011,0.441664
2012,0.448212
2013,0.442028
2014,0.433538
2015,0.434605
2016,0.433334
2017,0.400598
2018,0.409800
2019,0.413882
2020,0.410396
