year,mean_r
1970,0.345611
1971,0.337901
1972,0.332414
1973,0.276931
1974,0.288473
1975,0.307106
1976,0.366038
1977,0.372773
1978,0.366267
1979,0.373213
1980,0.363126
1981,0.357988
1982,0.342491
1983,0.370984
1984,0.437925
1985,0.448108
1986,0.424539
1987,0.438463
1988,0.454910
1989,0.442297
1990,0.417478
1991,0.402174
1992,0.435122
1993,0.458956
1994,0.457635
1995,0.428557
1996,0.405236
1997,0.400304
1998,0.397910
1999,0.407132
2000,0.428849
2001,0.433876
2002,0.473323
2003,0.451933
2004,0.441953
2005,0.443915
2006,0.476043
2007,0.483330
2008,0.454515
2009,0.465253
2010,0.482421
2011,0.479829
2012,0.444901
2013,0.430958
2014,0.431045
2015,0.446795
2016,0.423029
2017,0.424361
2018,0.426854
2019,0.419897
2020,0.412462
