year,mean_r
1970,0.261666
1971,0.240216
1972,0.269499
1973,0.219480
1974,0.255434
1975,0.272646
1976,0.299271
1977,0.295144
1978,0.277868
1979,0.280502
1980,0.285515
1981,0.240517
1982,0.210003
1983,0.216523
1984,0.363256
1985,0.374897
1986,0.335728
1987,0.350682
1988,0.399834
1989,0.361878
1990,0.297177
1991,0.296169
1992,0.273777
1993,0.379675
1994,0.401265
1995,0.386158
1996,0.361218
1997,0.458614
1998,0.488305
1999,0.516574
2000,0.528171
2001,0.500489
2002,0.504743
2003,0.513105
2004,0.496299
2005,0.530109
2006,0.559664
2007,0.556954
2008,0.537813
2009,0.600244
2010,0.594332
2011,0.598440
2012,0.613246
2013,0.593933
2014,0.575908
2015,0.578721
2016,0.590240
2017,0.539059
2018,0.524010
2019,0.513006
2020,0.544096
