year,mean_r
1969,0.278658
1970,0.272936
1971,0.291081
1972,0.299559
1973,0.272437
1974,0.246492
1975,0.274575
1976,0.299380
1977,0.299262
1978,0.318192
1979,0.328125
1980,0.328010
1981,0.347052
1982,0.351025
1983,0.395166
1984,0.397509
1985,0.376943
1986,0.388143
1987,0.397954
1988,0.437283
1989,0.436494
1990,0.452419
1991,0.446390
1992,0.427390
1993,0.435362
1994,0.440580
1995,0.399044
1996,0.364214
1997,0.383920
1998,0.392503
1999,0.422493
2000,0.431692
2001,0.451147
2002,0.469886
2003,0.465938
2004,0.482104
2005,0.511752
2006,0.510578
2007,0.531260
2008,0.518489
2009,0.528645
2010,0.541693
2011,0.552480
2012,0.518685
2013,0.491680
2014,0.480510
2015,0.480739
2016,0.433183
2017,0.426475
2018,0.396536
2019,0.382542
2020,0.366919
