year,mean_r
1969,0.307311
1970,0.308681
1971,0.297565
1972,0.285281
1973,0.294733
1974,0.283068
1975,0.289784
1976,0.257998
1977,0.268319
1978,0.279295
1979,0.285722
1980,0.286773
1981,0.269762
1982,0.277112
1983,0.261786
1984,0.245161
1985,0.249610
1986,0.259327
1987,0.277775
1988,0.299011
1989,0.313137
1990,0.323276
1991,0.311105
1992,0.355857
1993,0.348667
1994,0.345719
1995,0.351698
1996,0.340294
1997,0.337549
1998,0.344184
1999,0.376914
2000,0.379378
2001,0.388137
2002,0.385731
2003,0.383704
2004,0.399495
2005,0.402996
2006,0.416720
2007,0.398960
2008,0.390076
2009,0.378493
2010,0.372588
2011,0.368392
2012,0.341330
2013,0.361197
2014,0.378032
2015,0.370914
2016,0.358975
2017,0.342661
2018,0.340116
2019,0.353084
2020,0.371464
