year,mean_r
1970,0.295833
1971,0.295495
1972,0.295006
1973,0.265621
1974,0.266707
1975,0.282283
1976,0.337058
1977,0.338947
1978,0.349492
1979,0.348130
1980,0.340689
1981,0.331484
1982,0.307925
1983,0.316167
1984,0.337854
1985,0.342727
1986,0.337445
1987,0.349003
1988,0.366429
1989,0.352676
1990,0.341485
1991,0.337243
1992,0.359741
1993,0.395077
1994,0.393051
1995,0.362897
1996,0.347441
1997,0.363910
1998,0.348321
1999,0.351111
2000,0.378800
2001,0.385077
2002,0.411598
2003,0.421844
2004,0.425586
2005,0.433330
2006,0.449774
2007,0.468452
2008,0.445780
2009,0.454643
2010,0.465147
2011,0.452610
2012,0.441454
2013,0.431010
2014,0.433093
2015,0.450193
2016,0.444545
2017,0.439782
2018,0.446890
2019,0.442300
2020,0.430955
