year,mean_r
1970,0.291938
1971,0.291467
1972,0.296939
1973,0.272623
1974,0.271589
1975,0.266729
1976,0.311693
1977,0.321325
1978,0.329523
1979,0.337539
1980,0.335061
1981,0.330235
1982,0.314269
1983,0.336396
1984,0.361332
1985,0.352597
1986,0.340537
1987,0.352929
1988,0.373435
1989,0.350944
1990,0.333232
1991,0.327551
1992,0.339671
1993,0.368533
1994,0.366267
1995,0.341548
1996,0.331906
1997,0.339591
1998,0.327508
1999,0.323707
2000,0.346987
2001,0.346575
2002,0.367947
2003,0.359646
2004,0.368240
2005,0.375946
2006,0.397906
2007,0.410642
2008,0.380273
2009,0.399219
2010,0.418244
2011,0.410651
2012,0.407680
2013,0.395590
2014,0.396153
2015,0.415796
2016,0.414797
2017,0.411912
2018,0.417866
2019,0.410316
2020,0.393152
