year,mean_r
1970,0.304040
1971,0.311831
1972,0.325123
1973,0.329899
1974,0.333054
1975,0.362560
1976,0.382501
1977,0.363806
1978,0.379313
1979,0.381945
1980,0.360567
1981,0.355989
1982,0.339007
1983,0.307802
1984,0.317816
1985,0.328515
1986,0.322971
1987,0.320926
1988,0.339389
1989,0.332351
1990,0.343289
1991,0.344766
1992,0.332910
1993,0.371927
1994,0.379066
1995,0.366029
1996,0.394283
1997,0.437684
1998,0.435325
1999,0.456665
2000,0.494175
2001,0.498944
2002,0.513216
2003,0.532778
2004,0.530323
2005,0.557753
2006,0.587292
2007,0.588490
2008,0.564585
2009,0.533710
2010,0.515733
2011,0.501104
2012,0.512110
2013,0.491867
2014,0.487118
2015,0.494845
2016,0.488011
2017,0.465086
2018,0.450984
2019,0.420389
2020,0.409818
