year,mean_r
1970,0.242605
1971,0.228908
1972,0.219947
1973,0.224275
1974,0.212366
1975,0.228752
1976,0.310759
1977,0.342094
1978,0.389296
1979,0.386311
1980,0.386207
1981,0.362872
1982,0.334068
1983,0.333570
1984,0.321521
1985,0.310483
1986,0.332213
1987,0.357928
1988,0.374636
1989,0.402005
1990,0.398980
1991,0.399015
1992,0.404973
1993,0.425416
1994,0.431584
1995,0.407100
1996,0.379933
1997,0.410253
1998,0.376671
1999,0.375032
2000,0.384045
2001,0.389046
2002,0.400190
2003,0.415432
2004,0.410607
2005,0.414190
2006,0.396176
2007,0.447556
2008,0.414165
2009,0.401603
2010,0.412948
2011,0.386976
2012,0.391102
2013,0.387310
2014,0.380230
2015,0.384991
2016,0.371302
2017,0.343071
2018,0.351086
2019,0.332767
2020,0.324731
