year,mean_r
1970,0.353869
1971,0.352349
1972,0.356296
1973,0.306211
1974,0.321333
1975,0.327324
1976,0.385035
1977,0.377275
1978,0.373013
1979,0.376631
1980,0.369255
1981,0.367345
1982,0.348055
1983,0.382063
1984,0.429024
1985,0.439487
1986,0.425505
1987,0.436239
1988,0.451459
1989,0.410174
1990,0.392241
1991,0.387201
1992,0.438392
1993,0.465692
1994,0.437190
1995,0.404312
1996,0.379844
1997,0.370718
1998,0.349009
1999,0.341775
2000,0.370538
2001,0.372768
2002,0.411304
2003,0.406489
2004,0.414885
2005,0.413862
2006,0.441416
2007,0.453937
2008,0.434796
2009,0.463989
2010,0.483829
2011,0.476561
2012,0.439786
2013,0.432902
2014,0.448749
2015,0.469633
2016,0.467133
2017,0.488795
2018,0.508807
2019,0.517872
2020,0.508470
