year,CA-BOU,CA-Ca1,CA-Ca2,CA-Cbo,CA-EM1,CA-Gro,CA-HPC,CA-LP1,CA-Qc2,CA-Qfo,CA-SCB,CA-SCC,CA-SF1,CA-SF2,CA-TP1,CA-TP3,CA-TPD,US-A32,US-A74,US-ALQ,US-BZB,US-BZF,US-BZS,US-BZo,US-Bi1,US-Bi2,US-CRT,US-CS1,US-CS2,US-CS3,US-CS4,US-CS5,US-CS6,US-CS8,US-CdM,US-Cop,US-Dmg,US-EML,US-Fcr,US-Fmf,US-Fuf,US-Fwf,US-GLE,US-Ho1,US-Ho2,US-ICh,US-ICs,US-ICt,US-KFS,US-KLS,US-KS1,US-KS2,US-Kon,US-LS2,US-MMS,US-MOz,US-Me2,US-Me3,US-Me6,US-Mo1,US-Mo2,US-Mo3,US-Myb,US-NC1,US-NC3,US-NC4,US-Ne1,US-ORv,US-OWC,US-Oho,US-PFL,US-PFb,US-PFc,US-PFd,US-PFk,US-PFm,US-PFn,US-PFp,US-PFq,US-PFt,US-RRC,US-Rls,US-Rms,US-Ro1,US-Ro2,US-Ro4,US-Ro5,US-Ro6,US-Rpf,US-Rwf,US-Rws,US-Sne,US-Snf,US-Srr,US-StJ,US-Syv,US-Ton,US-Tw1,US-Tw2,US-Tw3,US-Tw4,US-Tw5,US-UM3,US-UMB,US-UMd,US-Var,US-WPT,US-Wi0,US-Wi1,US-Wi3,US-Wi4,US-Wi5,US-Wi6,US-Wi7,US-Wi8,US-Wi9,US-YK2,US-xAB,US-xAE,US-xBA,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xRM,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xYE,BE-Bra,BE-Dor,BE-Lcr,BE-Lon,BE-Maa,BE-Vie,CH-Aws,CH-Cha,CH-Dav,CH-Fru,CH-Lae,CH-Oe2,CZ-BK1,CZ-KrP,CZ-Lnz,CZ-RAJ,CZ-Stn,CZ-wet,DE-Akm,DE-Geb,DE-Gri,DE-Hai,DE-HoH,DE-Hzd,DE-Kli,DE-Obe,DE-RuR,DE-RuS,DE-RuW,DE-Tha,DK-Gds,DK-Sor,ES-Abr,ES-Agu,ES-Cnd,ES-LJu,ES-LM1,ES-LM2,FI-Hyy,FI-Ken,FI-Let,FI-Qvd,FI-Sii,FI-Var,FR-Aur,FR-Bil,FR-FBn,FR-Fon,FR-Gri,FR-Hes,FR-LGt,FR-Lam,FR-Tou,GF-Guy,GL-Dsk,IE-Cra,IL-Yat,IT-BCi,IT-BFt,IT-Cp2,IT-Lav,IT-Lsn,IT-MBo,IT-Ren,IT-SR2,IT-Tor,RU-Fy2,RU-Fyo,SE-Deg,SE-Htm,SE-Nor,SE-Ros,SE-Svb
2014,,,,1739.07,,229.794,,576.171,,,246.814,352.57,,,111.437,1922.69,1397.14,,,,460.048,279.38,0.4038,,,,,,,,,,,,,,,440.147,338.07,,,,683.248,,957.479,188.37,255.534,248.102,1519.8,867.882,,,1290.89,,1728.41,1323.19,1821.86,,827.697,,,,1243.36,,457.456,,1607.71,1273.35,,,,,,,,,,,,,,142.894,163.546,671.604,,1116.63,,,461.667,724.791,120.085,,,1359.76,,1229.72,852.488,1864.53,,2300.39,625.238,,36.9192,1365.34,1215.11,577.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1639.98,2306.6,,539.192,,1970.22,1772.42,2534.02,1141.38,1970.1,1625.59,1483.36,2063.22,1046.96,,1806.77,1539.26,1069.25,1524.2,1307.48,1852.65,1655.96,,1366.28,1520.07,1819.47,1751.42,1759.67,2107.61,1551.12,,2251.24,,229.002,371.044,260.702,1276.63,1225.16,1202.58,,1149.75,,,,1154.61,2316.22,1762.86,1161.63,1259.11,2017.53,,1130.42,,3103.97,,,762.908,1875.51,,2096.89,2575.27,,1174.07,1896.47,2421.77,1090.08,,1336.96,291.221,,1161.62,1278.87,1081.7
2015,,,,1490.71,,,,674.686,,,430.744,452.397,,,1925.22,2000.94,1289.45,1386.1,,1182.86,476.444,571.127,671.17,,,,,,,,,,,,,,,663.872,,,,,791.427,,1032.12,220.443,282.696,,837.845,955.044,,,1403.34,,1645.15,950.665,1723.71,,770.055,631.567,,,1214.18,,1559.36,1646.23,1948.93,1548.38,,,,,,,,,,,,,,658.667,812.689,1524.6,1252.93,1147.14,,,484.885,777.997,333.8,,,1628.38,1120.86,1434.63,987.955,1427.49,,2392.5,1568.71,,,1397.46,1267.77,581.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700.64,2246.09,,1528.08,,1907.14,1329.57,2402.9,1206.37,1841.29,2040.87,1704.94,1807.68,820.768,1739.21,1449.98,1638.92,893.04,1493.96,1296.63,1539.12,1699.96,1317.93,1349.21,1518.59,1618.1,1604.29,1666.81,1285.83,1540.54,,2010.42,867.396,416.79,941.607,279.866,1107.83,1090.48,1197.77,,1334.25,,,,1178.76,1775.88,1723.02,2038.44,774.036,1603.16,,1377.78,,3625.02,,,762.467,2442.07,,2195.87,2210.98,,1551.13,2060.25,2539.42,1163.64,1374.21,1485.3,265.478,1792.61,1448.37,1043.94,1144.57
2016,,,,1708.1,,,,767.708,,,364.043,425.967,,,1898.34,1673.9,1411,1497.06,1393.05,693.354,523.502,609.199,793.16,,2649.54,,,,,,,,,,,,,313.906,,,,,745.661,1261.83,1377.35,164.808,207.415,232.152,1393.62,1047.91,,,,,1824.3,1628.64,1472.23,,716.229,1436.3,,1386.24,774.101,,1722.1,1754.53,1795.9,1818.96,874.524,,,,,,,,,,,,,515.668,747.084,795.614,1537.7,1013.24,,,573.511,607.96,398.716,1355.32,,1709.06,1509.9,1310.69,1011.91,1594.96,,1762.1,1604.85,,,1396.24,1357.96,724.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1642.66,2080,,1217.77,498.488,1855.28,1148.13,2716.08,1200.39,2130.91,2165.24,678.402,1938.04,832.745,1868.31,1598.97,1577.69,1057.85,1442.07,1481.09,1765.97,1447.57,1587.23,1570.99,1569.11,1647.74,1765.84,1642.19,1841.14,1688.73,,2224.57,1009.26,208.028,1265.54,202.872,1391.04,1255.68,1141.52,,861.206,,444.991,586.212,923.499,1653.07,1524.78,2018.86,1380.19,1502.49,,1339.44,,3631.77,,,722.188,1840.82,,1828.55,2391.92,1165.53,1459.78,1539.55,2241.02,868.401,1142.17,1373.15,240.455,1731.37,1410.5,1039.07,987.622
2017,,,,1799.15,,,,,,,286.125,,,,2040.72,1691.93,1390.17,790.353,684.219,147.336,536.405,454.669,658.826,,2150.82,1687.2,,,,,,,,,,,,380.939,,,,,770.914,1289.82,1048.7,183.448,232.252,308.62,981.621,1164.8,,,1778.8,,1624.98,1588.41,1652.12,,706.769,1480.31,,1224.61,1401.37,,2004.29,2130.35,1868.49,,,,,,,,,,,,,,,649.151,765.254,,,968.617,823.156,829.045,595.365,652.141,455.776,227.274,,1874.97,1229.27,1283.79,1014.87,1921.86,,1759.69,1526.78,,,1451.28,1515.09,597.155,,,,,,,,,,,,734.714,,,,,1544.78,,525.425,923.693,582.815,111.671,,1435.76,1269.93,176.044,1991,132.724,227.731,1426,,,223.15,,182.19,,,2333.64,,520.519,0.255279,651.632,,,1881.29,1953.54,1988.52,512.127,,1663.8,2126.42,,1259.39,336.294,2055.9,1395.24,2761.15,1151.58,2052.01,2126.81,1938.54,2026.57,1062.53,1480.11,1643.71,1481.36,1036.16,2022.71,1316.68,1725.2,1575.09,1420.98,1819.09,760.49,1883.57,1869.83,1409.86,2281.6,1633.6,,1925.83,687.456,661.13,913.668,360.904,1039.98,1013.44,1194.25,,1064.48,,325.905,444.506,1175.41,1782.65,1458.34,1374.2,1191.52,1743.58,954.241,2149.09,,3659.6,,,604.437,1782.31,,1991.04,2410.45,1249.98,1355.41,1594.4,2187.48,755.594,1384.43,1503.64,209.589,1993.77,1137.67,969.038,0
2018,374.858,,,1951.56,,,483.727,,,,235.566,,,,,,,,,,510.461,365.843,646.387,430.723,2120.76,1533.33,,1321.82,955.931,,,,,,,,,377.84,,,,,895.832,1344.53,1859.85,202.957,169.2,244.031,874.812,1224.1,,,1374.79,,1768.49,1271.53,1239.96,,337.465,1306.3,1054.69,1283.68,1787.47,,1965.11,1872.44,1687.82,,,,,,,,,,,,,,,540.375,862.783,,,1300.21,1587.51,738.919,671.697,821.008,330.636,519.302,514.049,,,1314.3,981.695,1661.5,,1001.26,1876.54,1252.6,,1396.81,1443.02,635.711,,,,,,,,,,,,1456.82,,,,,1409.94,1663.85,482.093,254.266,315.195,1788.92,,4.64964,2035.35,502.635,2058.78,101.934,1010.62,606.626,,,619.128,,732.793,,,2082.4,,703.166,215.012,1465.27,1794.78,7.80957,947.268,1289.79,1349.85,1360.99,,1592.81,2009.26,,660.096,655.64,1776.57,1325.74,2074.97,1150.69,1554.59,2093.48,1439.38,2107.5,1034.75,1989.64,1279.04,1718.65,1208.83,1586.68,1166.09,1154.98,1204.64,1498.25,1429.77,777.593,1403.62,1680.38,1269.23,2021.31,1400.22,,2005.18,1023.26,520.42,1081.46,297.076,1164.85,1153.48,1395.17,840.359,942.002,1372.12,321.458,556.198,930.629,1574.9,2006.75,2331.11,683.266,1844.15,1034.36,1448.53,1193.31,3222.79,,,571.139,2621.5,,2327.44,2528.51,1483.41,1483.12,1064.88,2396.14,906.925,1688.05,1573.66,161.492,1517.06,1215.97,969.348,974.939
2019,271.903,,,1439.99,,,,,,,230.049,,,,,,,,,765.754,520.702,421.403,816.84,586.426,2547.58,1609.53,,328.981,1639.61,1047.34,,,,,444.276,,,496.837,,,,,794.67,1331.8,2333.39,226.845,211.423,331.353,,1209.36,,,,,1804.86,1532.67,1496.84,,806.468,1061.69,1165.92,1231.47,1659.43,,2593.05,1809.56,1162.62,,,,1655.18,1316.32,399.194,882.667,1344.9,1445.88,2071.77,1378.07,1680.68,1364.54,,716.313,887.258,,,1048.7,822.888,1327.73,501.482,717.134,316.441,771.095,1611.76,,,1339.22,1070.85,1115.22,,,1499.42,1722.11,,1285.41,1451.1,684.284,,,,,,,,,,,390.933,2059.52,704.904,86.4438,1304.46,515.021,1265.27,1343.38,53.2287,857.206,608.014,2235.48,1440.57,1840.46,2119.25,604.711,1978.89,195.374,865.59,1268.93,99.0067,1122.09,852.003,242.158,837.199,1225.06,,2176.05,627.735,299.961,295.61,1123.52,1882.76,491.805,1167.82,1443.74,791.38,613.041,761.944,1730.06,1896.14,1621.7,1775.23,676.662,1838.29,1266.22,2285.86,1150.89,1943.45,2223.95,1715.13,1676.01,1545.26,1856.48,1734.3,1623.45,1089.02,0,1303.27,1238.91,1416.78,1653.28,1434.18,900.826,1601.3,1786.85,969.297,2127.79,1394.22,,2263.19,523.861,451.356,867.303,295.687,1090.63,1149.88,1224.27,670.109,853.061,1609.54,347.903,514.352,1184.51,1541.15,1592.06,2040.21,1794.66,1705.42,970.301,1589.24,1013.07,3623.28,,,576.118,1509.77,2023.22,1649.86,2587.25,1142.01,1481.08,1668.71,2530.69,967.201,1456.63,1547.82,170.206,1985,1338.13,1050.62,884.185
2020,391.807,,,1794.29,,,,697.944,,,,,,,,,,,,818.024,515.159,517.432,989.358,501.372,2553.79,1517.63,,,1878.44,358.775,1121.17,,,,313.095,,,,,,,,898.661,1295.13,1492.89,203.073,208.795,305.476,,,,,,,1630.84,1415.72,1141.88,,793.512,1735.16,1223.81,1300.19,1603.77,,2279.37,1609.1,1719.12,,,,,,,,,,,,,,,785.874,906.327,,,1140.6,1338.62,1709.69,0.422002,803.325,521.633,824.087,1125.33,,,1157.9,859.256,1563.03,,,1386.72,,,1333.63,1314.46,574.374,,,,,,,,,,,532.638,1507.12,438.933,125.641,1484.57,522.241,1444.11,1595.42,94.2854,935.94,605.484,308.61,1363.27,2425.21,1576.41,891.831,1955.14,190.479,772.932,1314.01,108.31,1085.03,581.868,130.779,662.285,1590.78,1274.76,1185.32,608.378,308.617,109.09,1400.68,1897.13,27.2097,1249.18,1867.03,1143.22,644.92,567.506,1479.72,2120.38,2049.1,1380.42,723.679,1742.12,1553.91,2377.79,1028.35,1931.25,2084.66,1290.07,1557.22,1528.42,2094.35,1556.39,1314.58,1274.91,1555.06,539.679,1428.47,1198.24,1792.59,1269.26,1483.91,1508.18,1997.63,1473.77,1859.51,1343.97,2126.54,1928.16,950.784,530.662,1039.35,301.302,1264.63,1299.42,967.711,650.904,1242.63,1107.72,402.388,595.797,912.759,1890.04,2002.37,2060.06,1640.48,1813.55,1186.4,1169.65,1469.34,4197.22,338.933,746.699,674.863,1864.76,2547.98,2363.28,2591.61,1416.05,1666.38,1121.15,2546.95,1086.01,1330.24,1592.78,205.095,1707.43,1399.53,901.372,908.034
2021,,,,,617.549,,,673.288,,,,,,,,,,,,873.256,440.184,405.606,659.626,427.339,2333.58,1625.86,,,1744.88,,46.3396,1483.01,,,407.037,,922.701,,,,,,,1073.91,1451.35,189.708,217.687,120.197,,,,,,,,1557.75,203.613,,870.269,1800.34,1066,893.317,1798.89,,,2022.35,,,,,,,,,,,,,,,,717.541,864.229,,,955.119,829.399,945.442,495.32,744.13,433.053,,,,,1169.19,629.209,1597.95,,,1851.98,,,1416.9,1535.21,431.374,,,,,,,,,,,51.6855,1628.49,878.87,130.526,1829.2,611.875,1387.18,1709.59,345.278,511.746,584.377,2326.67,1250.09,2006.8,1528.28,437.537,2121.54,249.933,863.183,1038.29,164.698,907.045,385.3,117.447,674.637,1310.95,1647.28,1961.78,727.258,422.164,238.532,1309.36,1758.3,330.749,1279.74,1624.81,1104.42,398.256,549.986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,,,,,607.758,,,672.64,,,,,,,,,,,,821.952,332.843,58.3205,,306.77,,,,,1608.55,,,,1204.03,,379.615,,1881.45,,,,,,,1236.77,1387.41,160.208,167.734,207.209,,,,,,,,,237.519,,945.409,2121.24,1139.43,,,,,,,,,,,,,,,,,,,,2078.18,795.58,949.595,,,929.672,1402.54,1083.21,768.719,945.98,486.947,,,,,1082.38,729.857,1409.47,,,1964.67,,,,1578.94,,,,,,,,,,,,303.195,1624.55,,,,,,,,,598.267,,,,,,,160.586,,,,,,,,,,,,250.762,,,,159.408,,,,636.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,,,,,652.232,,,,,,,,,,,,,,,980.798,,,,,,,,,,,,,671.027,1316.81,365.561,,1857.65,,,,,,,1351.77,1407.99,143.566,250.362,150.014,,,,,,,,,,,,1439.96,1510.93,,,,,,,,,,,,,,,,,,,,1280.02,728.002,792.804,,,934.902,913.864,1176.71,751.382,851.381,533.411,,,,,1152.53,869.495,1391.73,,,1623.48,,,,,,,,,,,,,,,,,1540.66,,,,,,,,,550.088,,,,,,,86.61,,,,,,,,,,,,160.674,,,,244.577,,,,758.444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
