year,CA-BOU,CA-Ca1,CA-Ca2,CA-Cbo,CA-EM1,CA-Gro,CA-HPC,CA-LP1,CA-Qc2,CA-Qfo,CA-SCB,CA-SCC,CA-SF1,CA-SF2,CA-TP1,CA-TP3,CA-TPD,US-A32,US-A74,US-ALQ,US-BZB,US-BZF,US-BZS,US-BZo,US-Bi1,US-Bi2,US-CRT,US-CS1,US-CS2,US-CS3,US-CS4,US-CS5,US-CS6,US-CS8,US-CdM,US-Cop,US-Dmg,US-EML,US-Fcr,US-Fmf,US-Fuf,US-Fwf,US-GLE,US-Ho1,US-Ho2,US-ICh,US-ICs,US-ICt,US-KFS,US-KLS,US-KS1,US-KS2,US-Kon,US-LS2,US-MMS,US-MOz,US-Me2,US-Me3,US-Me6,US-Mo1,US-Mo2,US-Mo3,US-Myb,US-NC1,US-NC3,US-NC4,US-Ne1,US-ORv,US-OWC,US-Oho,US-PFL,US-PFb,US-PFc,US-PFd,US-PFk,US-PFm,US-PFn,US-PFp,US-PFq,US-PFt,US-RRC,US-Rls,US-Rms,US-Ro1,US-Ro2,US-Ro4,US-Ro5,US-Ro6,US-Rpf,US-Rwf,US-Rws,US-Sne,US-Snf,US-Srr,US-StJ,US-Syv,US-Ton,US-Tw1,US-Tw2,US-Tw3,US-Tw4,US-Tw5,US-UM3,US-UMB,US-UMd,US-Var,US-WPT,US-Wi0,US-Wi1,US-Wi3,US-Wi4,US-Wi5,US-Wi6,US-Wi7,US-Wi8,US-Wi9,US-YK2,US-xAB,US-xAE,US-xBA,US-xBL,US-xBN,US-xBR,US-xCL,US-xCP,US-xDC,US-xDJ,US-xDL,US-xDS,US-xGR,US-xHA,US-xHE,US-xJE,US-xJR,US-xKA,US-xKZ,US-xMB,US-xML,US-xNG,US-xNQ,US-xRM,US-xSB,US-xSC,US-xSE,US-xSJ,US-xSL,US-xSR,US-xST,US-xTA,US-xTL,US-xTR,US-xUK,US-xUN,US-xWD,US-xYE,BE-Bra,BE-Dor,BE-Lcr,BE-Lon,BE-Maa,BE-Vie,CH-Aws,CH-Cha,CH-Dav,CH-Fru,CH-Lae,CH-Oe2,CZ-BK1,CZ-KrP,CZ-Lnz,CZ-RAJ,CZ-Stn,CZ-wet,DE-Akm,DE-Geb,DE-Gri,DE-Hai,DE-HoH,DE-Hzd,DE-Kli,DE-Obe,DE-RuR,DE-RuS,DE-RuW,DE-Tha,DK-Gds,DK-Sor,ES-Abr,ES-Agu,ES-Cnd,ES-LJu,ES-LM1,ES-LM2,FI-Hyy,FI-Ken,FI-Let,FI-Qvd,FI-Sii,FI-Var,FR-Aur,FR-Bil,FR-FBn,FR-Fon,FR-Gri,FR-Hes,FR-LGt,FR-Lam,FR-Tou,GF-Guy,GL-Dsk,IE-Cra,IL-Yat,IT-BCi,IT-BFt,IT-Cp2,IT-Lav,IT-Lsn,IT-MBo,IT-Ren,IT-SR2,IT-Tor,RU-Fy2,RU-Fyo,SE-Deg,SE-Htm,SE-Nor,SE-Ros,SE-Svb
2004,,1978.49,740.065,,,964.971,,,,590.23,,,745.366,1191.67,366.211,1116.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1848.56,1357.72,978.96,1628.47,2023.86,1382.73,,,,,,,,,,1630.87,,,1811.92,,,,,,,,,,,,,,563.566,,,,,,,,,,,,886.092,933.895,,,,,,,,,594.341,,,,968.687,1275.9,1004.65,,,,802.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087.26,,,1289.22,,1831.82,,,980.197,,3420.92,1297.76,1875.62,,,,,,,1228.52,1454.58,1322.19,,,1934.74,,,,,1353.95,,1848.4,,,,487.017,,,999.636,,,,,,,,,,1455.19,,,,,3680.35,,,714.391,2439.33,,,2391.14,,1186.25,1492.19,,,,1353.73,258.579,,,,
2005,,2052.6,868.619,1554.16,,1171.32,,,,740.495,,,1256.12,1641.96,435.362,1310.61,,,,,,,,,,,,,,,,,,,,,,,,946.14,825.204,257.472,801.854,,,,,,,,,1746.53,1189.62,966.677,1777.55,1610.3,1339.2,,,,,,,1521.32,,,1540.09,,,1759.72,,,,,,,,,,,,,,1471.77,,,,,,,,,,,,946.154,1225.98,,,,,,,,,758.465,,,,,1672.16,,,1029.14,,956.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1276.04,,,1484.93,,1675.96,,2895.38,1043.75,2643.51,1123.83,1474.44,2045.35,,,,,,,1183.05,992.622,1612.48,,,1449.76,,,,,1299.86,,1835.83,,,,220.653,,,1013.66,,,,,,1189.89,,,1730.38,1296.39,,,1373.79,,3692.83,,,856.62,1694.83,,,2325.02,,1289.11,1479.15,,,,1384.64,373.582,,,,
2006,,1971.73,648.225,1400.09,,1158.74,,,,740.985,,,1451.3,,1344.61,1477.03,,,,,,,,,,,,,,,,,,,,79.2613,,,,963.627,943.875,259.801,894.723,,,,,,,,,1713.12,1214.92,991.528,1670.4,2295.44,1602.13,,,,,,,1623.87,,,1621.55,,,1754.41,,,,,,,,,,,,,,749.736,,,,,,,,,,,,828.158,932.22,,,,,,,,,580.693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1368.02,,,839.637,,1519.41,2352.64,2060.58,941.026,2158.84,1287.54,993.097,1842.7,,,,,1357.85,,1413.98,1128.52,1636.96,,,1113.09,,,,,1288.26,,1771.97,,51.8654,,208.083,,,1026.49,,,,,,915.279,,,1613.12,1260.99,,,1136.49,,3416.69,,,610.672,1872.43,,,2281.97,,1225.58,1358.81,,,,1348.22,270.756,,,,
2007,,2027.06,877.448,1292.58,,1164.35,,471.591,975.328,637.777,,,,,664.714,1260.58,,,,,,,,,,,,,,,,,,,,162.258,,,,860.149,954.819,380.722,771.36,,1265.03,156.826,104.679,146.886,,,,,1269.45,,1765.63,1292.57,1367.47,626.212,,,,,,1461.67,,,1936.96,,,1661.32,,,,,,,,,,,,,,1236.96,,,,,,,,,,,,1693.62,947.242,,,,,,,1446.08,,631.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352.93,,,1305.47,,1748.11,1804.09,2614.88,856.985,1975.3,1648.15,1399.79,1870.26,,,,,1263.07,,948.309,1402.9,1427.01,,,993.672,,,,,979.257,,2018.74,,285.637,,287.917,,,1051.5,,,,,,665.137,,,1927.92,1291.52,,,1329.64,,3330.78,,,722.762,1915.37,,,2215.48,,1297.46,1270.81,,,,1493.59,264.777,,,,
2008,,1949.37,905.199,1272.01,,1199.06,,452.775,1018.77,668.675,,,,,866.522,1381.18,,,,,,,,,,,,,,,,,,,,,,,,1023.65,1124.44,425.349,628.516,,1276.82,160.062,240.801,140.731,,,,,1601.7,,1706.37,1446.16,1345.02,693.371,,,,,,1582.91,,,1831.74,,,1690.03,,,,,,,,,,,,,,610.467,1436.24,,,,,,,,,,,,775.405,,,,,,,1362.42,1269.14,344.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,971.998,,,1556.95,,1846.43,1320.82,2517.33,1099.38,1625.54,1552.87,1238.41,2131.89,,,,,1131.95,,1104.21,1498.9,1592.95,,,580.6,1687.86,,,,1481.01,,1885.73,,255.629,,220.818,,,981.458,,,,,,1209.58,,1565.34,1512.55,1564.84,,,1078.21,,3422.48,,,525.241,2121.92,,,2492.04,,1280.64,1713.1,,1692.18,,1381.1,180.803,,,,
2009,,1987.9,1003.05,1311.78,,1040.47,,468.479,1046.45,607.764,,,,,1019.82,1336.64,,,,,,,,,,,,,,,,,,,,,,,,959.931,821.135,336.519,703.573,,1186.26,171.34,229.352,172.504,640.792,,,,1663.57,,1527.43,1459.46,1518.78,671.216,,,,,,2265.14,,,1975.25,,,1799.05,,,,,,,,,,,,,,1503.85,1844.83,,,,,,,,,,,,974.669,,,,,,,1268.17,1248.36,640.491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1544.3,,,1568.34,,2203.34,1128.66,3120.73,1081.26,1684.48,1635.05,1334.3,1655.69,,,,,1086.94,204.671,750.602,1081.24,1688.07,,,1737.59,1750.02,,,,1519.46,,1913.94,,390.452,,257.434,,,1094.33,,1848.96,,,,1044.12,,1659.66,1512.49,1318.58,,,870.406,,3601.01,,,514.944,1269.83,,,2736.74,,1100.69,1672.49,,789.565,,1446.69,208.001,,,,
2010,,2108.85,1112.17,1539.05,,1113.63,,494.651,964.717,670.472,,,,,1300.09,1750.07,,,,,,,609.831,,,,,,,,,,,,,,,,,1098.96,1109.24,407.178,413.65,,1614.73,224.941,,199.575,988.753,,,,1613.92,,1689.31,1395.68,1633.27,,561.941,,,,,2455.83,,,1689.28,,,1650.76,,,,,,,,,,,,,,911.868,1534.28,,,,,,,,,,,,1198.55,,,,,,,1284.09,1203.05,636.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1298.76,,,588.547,,1929.88,1175.63,2266.42,1106.13,1513.18,1561.54,491.073,1663.57,,,,1504.63,1044.27,1084.84,1084.14,1356.96,1409.62,,1354.99,1129.48,1541.5,,,,1351.33,,1740.25,,477.298,,259.403,,,1229.4,,1257.34,,,,1359.45,,1661.62,1472.35,1422.57,,,1108.33,,3842.22,,,567.597,1937.59,,,2219.43,,1163.53,1735.75,,815.678,,1462.43,185.485,,,,
2011,,,,1675.93,,985.494,,482.709,,,,,,,1346.58,1509.87,,,,,421.776,367.453,767.363,,,,920.701,,,,,,,,,,,377.741,,,,,620.32,,1587.4,174.55,257.764,179.307,690.901,,,,1464.89,,1503.34,165.265,1482.27,,839.636,,,,503.072,2565.51,,,1600.3,534.019,,1671.65,,,,,,,,,,,,,,914.834,1348.43,,,,,,,,,,,,1235.9,1627.11,,,,,,1355.89,1257.51,627.62,730.641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1809.52,1972.77,,1541.32,,1868.64,1636.5,2136.5,1101.08,1984.12,1709.74,1423.46,1964.13,,,,1726.03,1109.64,1937.17,644.922,1623.86,1510.73,,1154.18,1358.58,1712.6,1882.95,1988.56,,1542.83,,1757.66,,497.317,,273.504,,,1311.07,,1356.61,,,,902.174,,1538.9,1627.78,1463.49,,,1678.11,,3992.76,,,628.126,1745.8,,,2451.73,,1371.23,1760.53,,956.996,,1340.57,269.521,,,,
2012,,,,1755.95,,964.931,,518.737,,,,,,,1355.92,1736.41,1310.26,,,,415.635,524.223,778.422,,,,1219.65,,,,,,,,,,,416.326,221.811,,,,646.474,,1627.7,196.714,49.3051,199.402,835.369,857.027,,,1018.52,,1482.62,1015.01,1875.83,,667.322,,,,2149.99,3000.36,,,1696.64,916.53,,1798.26,,,,,,,,,,,,,,870.97,837.77,,,,443.047,,,,,,,1347.39,1009.59,1369.58,1091.36,,,,,1432.91,1388.96,677.186,710.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1861.11,2225.15,,1492.72,,1809.74,0,1612.64,1068.4,1698.79,1382,1310.46,1691.7,,,1692.86,1570.52,1176.36,1956.42,884.027,1535.17,1599.69,,1246.95,684.184,1862.13,1620.17,1033.07,1382.23,1448.75,,2004.24,,333.665,,194.095,,,1208.43,,1303.07,,,,1331.14,,1533.36,1557.41,1173.99,,,1146.63,,3654.33,,,783.118,1786.13,,2120.94,2578.11,,1318.13,1609.76,,825.597,,1225.84,220.257,,,,
2013,,,,1712,,884.952,,530.937,,,,305.881,,,1493.91,1728.87,1415.22,,,,,,0.4038,,,,1022.27,,,,,,,,,,,353.101,257.453,,,,674.914,,1557.7,201.247,2.93529,183.118,1230.93,955.184,,,1298.91,,1742.91,1346.04,1576.71,,880.689,,,,1547.15,,511.224,,1775.17,1310.3,,1797.94,,,,,,,,,,,,,,1274.38,747.243,,,,330.463,,,,,,,1165.36,894.607,1862.55,231.771,1549.35,111.757,,37.7735,1262.52,1334.66,438.032,533.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1574.85,2058,,1442.5,,2100.55,1869.83,2297.15,1099.34,1669.73,1762.42,1451.04,1921.19,,,1514.42,1381.2,1035.8,1878.04,1093.92,1516.61,1750.73,,1161.82,533.734,1572.92,1446.65,1681.36,2298.71,1363.02,,1932.31,,402.952,,255.291,,,1270.02,,1376.75,,,,1273.47,,1533.5,1642.97,1209.85,,,1482.27,,3331.76,,,594.404,1912.02,,1924.51,2060.54,,1267.42,1571.33,2590.12,850.865,,1128.32,362.64,,,,
