year,mean_r
1970,0.530083
1971,0.503958
1972,0.514908
1973,0.510409
1974,0.505103
1975,0.503352
1976,0.519601
1977,0.529229
1978,0.546369
1979,0.534164
1980,0.534255
1981,0.537427
1982,0.548308
1983,0.537707
1984,0.532944
1985,0.543152
1986,0.534424
1987,0.532733
1988,0.560571
1989,0.600492
1990,0.612458
1991,0.632927
1992,0.636172
1993,0.650318
1994,0.653194
1995,0.660367
1996,0.667311
1997,0.653307
1998,0.656807
1999,0.681522
2000,0.682519
2001,0.684592
2002,0.644568
2003,0.622699
2004,0.594032
2005,0.577922
2006,0.594445
2007,0.585886
2008,0.566021
2009,0.499609
2010,0.471590
2011,0.462117
2012,0.432293
2013,0.440109
2014,0.447777
2015,0.433362
2016,0.427118
2017,0.423535
2018,0.409897
2019,0.361144
2020,0.310031
