year,mean_r
1970,0.243164
1971,0.256977
1972,0.250115
1973,0.234675
1974,0.240490
1975,0.226762
1976,0.354688
1977,0.416299
1978,0.407404
1979,0.399634
1980,0.363828
1981,0.402070
1982,0.412026
1983,0.411442
1984,0.387168
1985,0.364192
1986,0.339656
1987,0.317877
1988,0.325109
1989,0.319463
1990,0.338106
1991,0.351309
1992,0.421021
1993,0.439154
1994,0.441826
1995,0.450890
1996,0.481107
1997,0.472652
1998,0.480761
1999,0.525670
2000,0.516603
2001,0.507503
2002,0.469330
2003,0.473683
2004,0.523269
2005,0.550420
2006,0.528982
2007,0.535143
2008,0.517515
2009,0.549930
2010,0.535957
2011,0.529316
2012,0.514497
2013,0.517772
2014,0.519192
2015,0.471502
2016,0.445929
2017,0.352976
2018,0.342860
2019,0.338303
2020,0.354474
