year,mean_r
1970,0.303985
1971,0.280913
1972,0.279486
1973,0.264397
1974,0.265190
1975,0.277832
1976,0.262676
1977,0.262541
1978,0.271060
1979,0.267112
1980,0.252741
1981,0.268772
1982,0.270253
1983,0.262785
1984,0.250001
1985,0.244328
1986,0.253550
1987,0.244737
1988,0.257372
1989,0.255366
1990,0.267639
1991,0.283625
1992,0.307237
1993,0.342938
1994,0.348774
1995,0.354209
1996,0.354857
1997,0.355829
1998,0.374074
1999,0.381287
2000,0.402743
2001,0.406387
2002,0.392197
2003,0.387176
2004,0.402175
2005,0.412071
2006,0.413541
2007,0.424631
2008,0.418541
2009,0.414399
2010,0.409349
2011,0.405759
2012,0.414969
2013,0.411883
2014,0.418732
2015,0.421052
2016,0.434992
2017,0.426636
2018,0.420455
2019,0.387928
2020,0.363550
