year,mean_r
1970,0.191155
1971,0.165529
1972,0.152620
1973,0.127703
1974,0.123127
1975,0.137493
1976,0.110806
1977,0.103341
1978,0.103826
1979,0.102871
1980,0.063827
1981,0.071777
1982,0.085594
1983,0.076175
1984,0.059125
1985,0.063444
1986,0.071325
1987,0.060668
1988,0.050564
1989,0.037480
1990,0.055814
1991,0.074709
1992,0.114431
1993,0.150322
1994,0.159676
1995,0.166658
1996,0.166457
1997,0.171020
1998,0.191313
1999,0.188252
2000,0.220847
2001,0.224735
2002,0.191631
2003,0.174965
2004,0.202486
2005,0.216325
2006,0.220990
2007,0.237470
2008,0.236272
2009,0.239387
2010,0.232750
2011,0.215722
2012,0.231133
2013,0.250499
2014,0.251014
2015,0.254564
2016,0.263757
2017,0.239509
2018,0.216432
2019,0.166068
2020,0.149963
